AL SOMA,ST,85,82 ,89 ,82 ,84 ,49 ,87 
AL SOMA,ST,84,81 ,88 ,78 ,82 ,47 ,85 
AL SOMA,ST,82,78 ,85 ,74 ,78 ,42 ,83 
AL SOMA,ST,78,77 ,80 ,71 ,74 ,40 ,79 
ASERI,ST,66,69 ,66 ,54 ,61 ,25 ,67 
FETFATZIDIS,CAM,77,84 ,63 ,72 ,84 ,25 ,55 
CARLOS,CDM,76,65 ,59 ,68 ,73 ,74 ,77 
AL JASSIM,CDM,74,73 ,67 ,70 ,71 ,72 ,76 
MUWASHAR,LM,71,92 ,65 ,64 ,73 ,30 ,68 
AL MOGAHWI,CAM,71,62 ,63 ,70 ,73 ,63 ,69 
BAKHASHWAIN,CDM,70,73 ,45 ,57 ,71 ,68 ,77 
BASAS,RM,70,84 ,64 ,63 ,72 ,48 ,69 
ASERI,RM,70,89 ,62 ,61 ,76 ,19 ,55 
ABDULAMEER,CDM,67,56 ,61 ,67 ,66 ,63 ,67 
AWAJI,LM,65,85 ,66 ,54 ,67 ,26 ,60 
SERAJ,RM,65,72 ,68 ,56 ,66 ,20 ,61 
HAMAD,CDM,64,61 ,50 ,57 ,67 ,59 ,71 
OTHMAN,CAM,63,77 ,46 ,58 ,71 ,54 ,55 
MAJRASHI,LM,56,67 ,57 ,43 ,58 ,21 ,70 
AL GHAMDI,CM,52,44 ,40 ,51 ,46 ,43 ,72 
AL MOUSA,CM,51,61 ,43 ,54 ,54 ,36 ,49 
SHAFY,LB,72,76 ,56 ,62 ,69 ,69 ,74 
HAWSAWI,CB,72,67 ,37 ,40 ,54 ,73 ,71 
AL SAHBI,RB,67,72 ,31 ,46 ,62 ,65 ,78 
AL HARBI,LB,66,79 ,42 ,58 ,63 ,61 ,66 
KURDI,RB,65,78 ,51 ,59 ,60 ,61 ,67 
AL ZUBAIDI,RB,63,78 ,49 ,56 ,57 ,59 ,80 
AL FATIL,CB,62,50 ,25 ,40 ,43 ,60 ,69 
AMMAN,CB,62,57 ,26 ,35 ,45 ,61 ,79 
MOSAILEM,GK,71,69 ,71 ,66 ,70 ,32 ,72 
AL BAQI,GK,60,59 ,57 ,55 ,58 ,49 ,64 
AL HARBI,GK,54,59 ,48 ,49 ,54 ,43 ,49 
