EDUARDO,ST,81,67 ,80 ,78 ,77 ,55 ,75 
BONATINI,ST,75,75 ,76 ,62 ,72 ,35 ,71 
AL QAHTANI,ST,69,69 ,67 ,68 ,65 ,29 ,71 
SHAMRANI,ST,69,77 ,70 ,55 ,59 ,33 ,84 
TIAGO,RM,75,86 ,72 ,71 ,75 ,38 ,62 
EDUARDO,CAM,75,64 ,75 ,73 ,72 ,52 ,72 
AL FARAJ,CM,72,70 ,68 ,72 ,74 ,69 ,65 
AL ABED,LM,72,87 ,70 ,63 ,74 ,40 ,68 
AL DAWSARI,RM,71,84 ,65 ,65 ,70 ,33 ,71 
SHALHOUB,CAM,70,54 ,67 ,72 ,69 ,32 ,48 
AL RUWAILI,CDM,70,69 ,68 ,73 ,71 ,64 ,62 
KHAIBARI,CDM,70,73 ,46 ,56 ,59 ,70 ,79 
KHAMIS,CDM,69,76 ,52 ,64 ,70 ,62 ,68 
KARIRI,CDM,67,67 ,54 ,66 ,63 ,64 ,74 
AL DAWSARI,LM,66,62 ,62 ,66 ,67 ,36 ,59 
DARWISH,RM,66,85 ,57 ,59 ,69 ,59 ,70 
ATEEF,CDM,65,63 ,54 ,60 ,61 ,61 ,63 
AL KAABI,RM,65,87 ,58 ,56 ,67 ,20 ,49 
AL QARNI,CDM,63,65 ,50 ,53 ,54 ,59 ,74 
AL NAJRANI,RM,63,64 ,56 ,61 ,62 ,52 ,63 
SHAHRANI,RB,74,87 ,58 ,69 ,72 ,70 ,70 
HAWSAWI,CB,74,77 ,65 ,65 ,70 ,81 ,89 
HAWSAWI,CB,73,72 ,57 ,53 ,56 ,71 ,84 
JAHFALI,CB,71,71 ,36 ,52 ,48 ,69 ,76 
AL ZORI,LB,68,76 ,42 ,53 ,63 ,66 ,80 
AL BURAIK,RB,66,80 ,54 ,65 ,64 ,61 ,58 
SHARAHILI,CB,64,77 ,29 ,42 ,58 ,62 ,72 
AL HAFITH,CB,64,63 ,37 ,40 ,45 ,62 ,75 
GHAZI,LB,54,58 ,26 ,45 ,35 ,53 ,59 
SHARAHILI,GK,68,70 ,63 ,62 ,68 ,40 ,68 
AL MAYOOF,GK,67,64 ,62 ,62 ,74 ,50 ,64 
THUNAYAN,GK,63,69 ,60 ,59 ,61 ,46 ,62 
