AL SALEM,ST,64,60 ,63 ,58 ,63 ,35 ,64 
AL ENEZI,ST,63,79 ,62 ,49 ,69 ,20 ,51 
HAZAZI,ST,53,55 ,53 ,45 ,50 ,29 ,56 
AL MOUSAWI,ST,52,51 ,52 ,41 ,50 ,30 ,52 
FOFANA,CDM,71,50 ,58 ,59 ,65 ,67 ,87 
LÓPEZ,CM,65,68 ,60 ,64 ,64 ,60 ,65 
BABÉLÉ,CDM,63,69 ,34 ,54 ,55 ,60 ,78 
MAJRASHI,RM,62,76 ,57 ,59 ,63 ,50 ,62 
AL RISHANI,CDM,62,63 ,51 ,55 ,53 ,61 ,69 
AL OBUD,LM,61,72 ,54 ,57 ,57 ,42 ,64 
AL SUDANI,CM,58,48 ,43 ,50 ,59 ,50 ,74 
AL ABBAS,CDM,57,56 ,36 ,63 ,49 ,48 ,55 
AL SHAIKH,CDM,56,58 ,48 ,54 ,55 ,48 ,67 
AL IBRAHIM,CDM,54,62 ,40 ,48 ,58 ,48 ,72 
LAJAMI,CDM,54,80 ,47 ,52 ,53 ,50 ,57 
AL HAJJI,RM,53,67 ,50 ,45 ,62 ,19 ,43 
AL GHAMDI,CM,52,44 ,40 ,51 ,46 ,43 ,72 
AL RAHEEB,RB,64,67 ,40 ,51 ,58 ,63 ,76 
SHANQITI,LB,64,73 ,26 ,54 ,66 ,56 ,71 
AL KHARA,RB,63,73 ,29 ,52 ,59 ,60 ,64 
AL JADANI,CB,61,47 ,26 ,38 ,46 ,63 ,70 
HAZAZI,RB,59,67 ,35 ,50 ,55 ,59 ,61 
LAJAMI,LB,55,75 ,26 ,35 ,48 ,58 ,62 
SUWAILEM,LB,53,54 ,41 ,55 ,47 ,50 ,53 
AL FURAYJ,GK,65,69 ,61 ,59 ,64 ,49 ,65 
AL TAWEEL,GK,56,56 ,53 ,62 ,56 ,41 ,52 
AL AHSAI,GK,56,59 ,55 ,52 ,54 ,49 ,57 
