HEBERTY,ST,66,80 ,63 ,52 ,62 ,27 ,67 
BENYETTOU,ST,65,75 ,63 ,47 ,60 ,18 ,71 
MAGHRABI,ST,64,68 ,63 ,49 ,64 ,29 ,68 
AL MEGBAS,ST,58,77 ,57 ,44 ,60 ,30 ,54 
AL HASHAN,CAM,71,80 ,66 ,70 ,71 ,31 ,66 
KARIRI,CDM,67,67 ,54 ,66 ,63 ,64 ,74 
ATEEF,CDM,67,63 ,62 ,67 ,68 ,56 ,79 
KHAIBARY,CDM,66,65 ,45 ,58 ,64 ,61 ,72 
PÍRIZ,CDM,66,62 ,43 ,59 ,58 ,60 ,80 
AL KAABI,RM,65,87 ,58 ,56 ,67 ,20 ,49 
AL BISHI,LM,64,89 ,53 ,57 ,65 ,27 ,66 
SULAYHIM,LM,64,77 ,51 ,60 ,68 ,34 ,48 
AL QARNI,CDM,63,65 ,50 ,53 ,54 ,59 ,74 
KHAYRALLAH,RM,63,78 ,52 ,57 ,64 ,19 ,55 
SELITEEN,CM,62,55 ,48 ,63 ,64 ,51 ,67 
SHAMMARY,LM,58,70 ,46 ,53 ,60 ,33 ,55 
AL FAHAD,CDM,56,72 ,52 ,47 ,49 ,54 ,63 
JAFAR,RM,53,60 ,50 ,50 ,51 ,42 ,52 
AL SUBAIE,CDM,53,61 ,37 ,48 ,47 ,53 ,60 
FALLATAH,RB,71,90 ,64 ,65 ,68 ,64 ,82 
AL DEAYEA,CB,68,72 ,44 ,53 ,60 ,65 ,79 
BENLAMRI,CB,67,58 ,28 ,46 ,45 ,64 ,79 
AL QUMAYZI,RB,65,75 ,38 ,57 ,63 ,56 ,73 
AL ASTA,LB,65,78 ,63 ,64 ,67 ,58 ,69 
SHRAHILEE,CB,64,66 ,25 ,42 ,40 ,60 ,79 
MOHAMMED,CB,61,62 ,42 ,40 ,43 ,58 ,78 
AL JAYZANI,RB,61,78 ,35 ,48 ,55 ,55 ,61 
RAGHFAWI,LB,57,87 ,24 ,47 ,42 ,52 ,50 
AL DOSSARY,LB,55,60 ,26 ,31 ,50 ,57 ,78 
GHAZI,LB,54,58 ,26 ,45 ,35 ,53 ,59 
AL OWAIS,GK,73,74 ,72 ,54 ,74 ,41 ,72 
ABDULLAH,GK,63,59 ,60 ,70 ,64 ,38 ,60 
JAWHAR,GK,56,54 ,57 ,53 ,54 ,47 ,57 
AWAJI,GK,52,54 ,49 ,52 ,49 ,42 ,52 
