FALLATA,ST,71,82 ,71 ,60 ,70 ,32 ,67 
FALLATA,ST,67,80 ,64 ,51 ,62 ,29 ,64 
ADÃO,ST,63,75 ,61 ,50 ,61 ,20 ,76 
DAGOULOU,ST,62,66 ,61 ,61 ,58 ,26 ,59 
MADKHALI,ST,62,57 ,63 ,52 ,57 ,19 ,66 
AL FAHMI,ST,61,58 ,61 ,51 ,60 ,22 ,62 
AL HARBI,ST,56,54 ,56 ,42 ,53 ,28 ,62 
LIMA,RM,65,74 ,53 ,61 ,64 ,32 ,68 
AL MOSA,CDM,64,58 ,41 ,52 ,60 ,58 ,85 
AL FARSI,RM,61,72 ,55 ,55 ,59 ,36 ,62 
AL MALKI,CDM,59,62 ,47 ,57 ,57 ,55 ,55 
BARNAWI,CDM,57,57 ,48 ,56 ,57 ,47 ,70 
MAHMOUD,CDM,55,51 ,42 ,46 ,40 ,59 ,60 
FALLATA,RB,66,88 ,29 ,47 ,64 ,61 ,65 
AL MOUSA,CB,65,50 ,42 ,54 ,58 ,63 ,75 
AL BAOUR,CB,64,50 ,42 ,44 ,39 ,62 ,75 
MUSALLAM,CB,64,54 ,24 ,31 ,33 ,61 ,76 
AL SHAMEKH,LB,63,82 ,28 ,46 ,61 ,60 ,64 
KAABI,LB,62,85 ,36 ,52 ,57 ,58 ,67 
MOJAMMAMI,RB,62,77 ,53 ,52 ,58 ,57 ,62 
MOHAMMED,CB,61,62 ,42 ,40 ,43 ,58 ,78 
AL MOOSA,RB,61,72 ,35 ,48 ,46 ,58 ,75 
AL SAEED,RB,58,64 ,38 ,52 ,52 ,56 ,59 
AL SDAIRY,GK,63,61 ,63 ,61 ,64 ,41 ,62 
AL ARRAF,GK,60,59 ,60 ,57 ,62 ,43 ,60 
AL DOSARI,GK,57,58 ,57 ,57 ,58 ,46 ,53 
