WILCZEK,ST,72,67 ,70 ,60 ,70 ,37 ,73 
PUKKI,ST,71,77 ,69 ,51 ,72 ,24 ,64 
HJULSAGER,RW,67,79 ,60 ,64 ,67 ,39 ,61 
KLIMENT,ST,66,70 ,62 ,60 ,69 ,29 ,60 
UREÑA,ST,65,84 ,62 ,57 ,67 ,42 ,62 
NILSSON,ST,64,63 ,64 ,44 ,62 ,31 ,65 
JAKOBSEN,RW,58,71 ,59 ,53 ,58 ,31 ,69 
CORLU,LW,58,71 ,51 ,50 ,67 ,25 ,40 
STÜCKLER,ST,55,69 ,55 ,46 ,55 ,23 ,47 
MUKHTAR,CAM,71,74 ,64 ,66 ,74 ,38 ,51 
NÚÑEZ,CAM,70,78 ,73 ,59 ,72 ,29 ,54 
KAHLENBERG,CM,69,56 ,60 ,71 ,68 ,51 ,69 
KALMÁR,LM,67,66 ,59 ,67 ,70 ,43 ,55 
AUSTIN,CM,67,77 ,65 ,62 ,65 ,66 ,83 
PHIRI,CM,66,79 ,52 ,62 ,66 ,66 ,68 
MENSAH,LM,65,87 ,62 ,52 ,72 ,33 ,60 
NØRGAARD,CM,63,63 ,58 ,64 ,64 ,55 ,63 
HOLST,CM,63,80 ,44 ,61 ,61 ,61 ,64 
ARAJUURI,CB,71,50 ,29 ,44 ,42 ,69 ,83 
LARSSON,RB,71,80 ,64 ,68 ,65 ,62 ,76 
RÖCKER,CB,70,67 ,31 ,40 ,39 ,70 ,76 
ALBRECHTSEN,CB,67,64 ,43 ,44 ,47 ,64 ,71 
HERMANNSSON,CB,67,62 ,22 ,49 ,58 ,66 ,69 
DA SILVA,LB,64,83 ,32 ,53 ,61 ,59 ,67 
CRONE,RB,54,69 ,32 ,42 ,51 ,54 ,52 
KWARASEY,GK,69,66 ,71 ,67 ,69 ,61 ,66 
RØNNOW,GK,66,64 ,63 ,60 ,63 ,48 ,70 
TOPPEL,GK,60,58 ,60 ,56 ,57 ,30 ,61 
ANKER,GK,52,51 ,52 ,54 ,51 ,16 ,49 
