PUSIC,ST,71,71 ,71 ,58 ,66 ,36 ,76 
ONUACHU,ST,64,68 ,55 ,52 ,65 ,37 ,71 
THOMSEN,ST,55,64 ,52 ,39 ,48 ,22 ,59 
VAART,CM,75,37 ,74 ,80 ,74 ,52 ,52 
SPARV,CDM,73,52 ,54 ,66 ,52 ,72 ,76 
POULSEN,CM,72,65 ,68 ,71 ,69 ,55 ,74 
WIKHEIM,LM,70,91 ,61 ,60 ,75 ,44 ,58 
DUELUND,LM,69,78 ,63 ,62 ,72 ,43 ,67 
DRACHMANN,CDM,69,67 ,48 ,66 ,62 ,62 ,72 
OLSSON,CM,69,75 ,52 ,68 ,72 ,56 ,67 
HALSTI,CDM,69,43 ,53 ,62 ,58 ,62 ,81 
HASSAN,RM,68,79 ,65 ,61 ,71 ,46 ,77 
KROON,RM,68,86 ,62 ,60 ,68 ,31 ,58 
BORRING,LM,66,74 ,61 ,64 ,65 ,34 ,72 
LARSEN,CM,64,77 ,57 ,64 ,63 ,52 ,62 
THYCHOSEN,RM,59,74 ,55 ,53 ,59 ,44 ,64 
AKINTOLA,RM,59,84 ,50 ,50 ,63 ,28 ,56 
KAIRINEN,CM,51,68 ,42 ,51 ,52 ,35 ,55 
RUTIKANGA,CM,50,60 ,33 ,47 ,51 ,49 ,50 
HANSEN,CB,75,75 ,43 ,66 ,60 ,75 ,75 
NOVÁK,LB,70,77 ,59 ,66 ,67 ,67 ,68 
BANGGAARD,CB,68,62 ,38 ,50 ,43 ,69 ,71 
RØMER,RB,68,74 ,43 ,63 ,64 ,63 ,75 
KRISTENSEN,RB,65,78 ,48 ,55 ,64 ,59 ,73 
DAL HENDE,LB,64,73 ,61 ,61 ,68 ,57 ,74 
NICOLAISEN,CB,54,58 ,23 ,35 ,31 ,50 ,65 
DIRKS RIIS,CB,54,63 ,27 ,34 ,34 ,51 ,64 
DAHLIN,GK,71,68 ,69 ,71 ,73 ,30 ,71 
ANDERSEN,GK,69,68 ,70 ,63 ,66 ,32 ,70 
