MIKKELSEN,LW,68,81 ,62 ,64 ,69 ,44 ,58 
DONYOH,ST,60,84 ,58 ,51 ,65 ,19 ,47 
MOHAMMAD,LW,53,81 ,42 ,37 ,66 ,19 ,48 
ASANTE,RM,69,95 ,61 ,59 ,69 ,48 ,55 
MARCONDES,CAM,69,77 ,64 ,63 ,72 ,33 ,58 
FELLAH,RM,68,79 ,60 ,63 ,72 ,42 ,67 
LOBOTKA,CM,64,65 ,50 ,64 ,69 ,50 ,51 
PETRY,CM,61,72 ,55 ,60 ,61 ,52 ,58 
NAAH,CM,61,74 ,55 ,56 ,68 ,44 ,54 
RASMUSSEN,LM,60,66 ,49 ,57 ,63 ,38 ,50 
JENSEN,CAM,54,76 ,41 ,44 ,64 ,31 ,46 
KØHLER,CM,52,60 ,52 ,50 ,48 ,46 ,55 
TANOR,CM,51,60 ,39 ,48 ,49 ,39 ,50 
ODURO,RM,50,66 ,27 ,41 ,51 ,46 ,67 
MTILIGA,LB,68,72 ,55 ,64 ,63 ,69 ,63 
GREGOR,CB,64,67 ,26 ,45 ,55 ,65 ,63 
DA SILVA,LB,64,83 ,32 ,53 ,61 ,59 ,67 
MAXSØ,CB,62,62 ,26 ,41 ,40 ,62 ,65 
PEDERSEN,LB,55,75 ,26 ,45 ,56 ,48 ,47 
SKOVGAARD,CB,54,54 ,25 ,36 ,32 ,54 ,56 
TRANBERG,CB,50,56 ,24 ,27 ,30 ,49 ,54 
CARLGREN,GK,69,76 ,57 ,55 ,75 ,33 ,65 
GROOTHUIZEN,GK,65,64 ,61 ,68 ,67 ,28 ,65 
RUNARSSON,GK,55,56 ,55 ,53 ,57 ,45 ,55 
JENSEN,GK,51,53 ,53 ,56 ,50 ,20 ,50 
