JÖNSSON,ST,69,68 ,66 ,63 ,70 ,34 ,63 
JACOBSEN,ST,68,82 ,70 ,52 ,67 ,24 ,55 
FESTERSEN,ST,68,81 ,67 ,60 ,67 ,46 ,66 
MIKKELSEN,ST,62,51 ,62 ,48 ,54 ,53 ,68 
UZOCHUKWU,CDM,69,75 ,56 ,58 ,68 ,64 ,75 
EL MAKRINI,CM,66,57 ,44 ,62 ,65 ,59 ,74 
THRANE,LM,62,70 ,54 ,58 ,59 ,25 ,59 
EDMUNDSSON,RM,61,70 ,55 ,54 ,64 ,31 ,57 
GREVE,RM,58,67 ,56 ,53 ,55 ,46 ,60 
NIELSEN,CM,56,73 ,50 ,54 ,60 ,45 ,61 
THOMASEN,CM,55,52 ,53 ,53 ,54 ,53 ,46 
DIEUDONNE,LM,51,60 ,51 ,44 ,54 ,28 ,46 
PEREIRA,LB,69,71 ,43 ,62 ,64 ,67 ,75 
PETERSEN,CB,68,57 ,32 ,49 ,49 ,67 ,74 
LAURSEN,RB,64,86 ,32 ,51 ,57 ,58 ,62 
TVERSKOV,CB,63,61 ,45 ,51 ,53 ,62 ,65 
DESLER,RB,62,75 ,58 ,59 ,66 ,57 ,54 
LUND,RB,61,66 ,39 ,54 ,58 ,59 ,64 
LAURSEN,LB,56,61 ,34 ,46 ,52 ,56 ,63 
BUUS,RB,55,68 ,30 ,38 ,54 ,51 ,51 
GRYTEBUST,GK,70,70 ,67 ,67 ,76 ,42 ,65 
FALKESGAARD,GK,64,63 ,64 ,67 ,62 ,44 ,64 
