POURIÉ,ST,69,75 ,63 ,56 ,65 ,22 ,69 
ISHAK,ST,68,68 ,67 ,49 ,67 ,41 ,70 
LUNDBERG,ST,68,72 ,68 ,60 ,65 ,38 ,74 
LUNDHOLM,LW,64,76 ,49 ,60 ,74 ,40 ,50 
MØLVADGAARD,ST,52,66 ,52 ,36 ,52 ,17 ,50 
MASANGO,LM,73,81 ,70 ,67 ,76 ,34 ,47 
KAUKO,CDM,67,56 ,43 ,56 ,54 ,64 ,80 
FISKER,RM,67,64 ,63 ,66 ,69 ,30 ,64 
BABAYAN,LM,65,75 ,62 ,60 ,66 ,43 ,61 
POULSEN,CM,65,64 ,43 ,66 ,63 ,66 ,65 
ALLANSSON,CM,63,59 ,47 ,64 ,66 ,46 ,64 
BRUHN,RM,62,67 ,52 ,58 ,65 ,36 ,51 
HENDRIKSSON,CM,59,60 ,61 ,59 ,60 ,44 ,65 
KALLESØE,RM,58,77 ,52 ,44 ,59 ,23 ,42 
LAUENBORG,CAM,56,60 ,49 ,54 ,55 ,44 ,52 
FENGER,CB,71,68 ,19 ,51 ,54 ,72 ,73 
FISCHER,LB,68,86 ,39 ,59 ,59 ,65 ,64 
AGESEN,CB,68,55 ,24 ,42 ,36 ,67 ,78 
THOMSEN,RB,68,66 ,45 ,63 ,60 ,63 ,79 
MARXEN,LB,63,67 ,44 ,58 ,59 ,61 ,64 
ENGHARDT,LB,57,63 ,27 ,40 ,54 ,59 ,62 
BAGER,CB,53,56 ,28 ,38 ,42 ,54 ,55 
HALLDÓRSSON,GK,67,69 ,62 ,59 ,68 ,25 ,66 
DUE,GK,53,46 ,53 ,36 ,58 ,36 ,52 
