HELENIUS,ST,68,68 ,68 ,57 ,63 ,25 ,65 
RUBIN,ST,68,75 ,63 ,60 ,73 ,29 ,57 
SKHIRTLADZE,ST,64,72 ,60 ,60 ,70 ,27 ,66 
AGGER,ST,63,68 ,55 ,42 ,65 ,29 ,70 
SKHIRTLADZE,LW,59,70 ,49 ,53 ,66 ,24 ,62 
ALBERS,ST,53,50 ,54 ,33 ,47 ,23 ,68 
MORO,CM,67,72 ,62 ,64 ,68 ,59 ,75 
VENDELBO,CM,65,75 ,60 ,61 ,66 ,60 ,80 
SCHEEL,LM,64,70 ,60 ,63 ,63 ,45 ,60 
THOMSEN,CDM,64,54 ,67 ,65 ,65 ,55 ,70 
LYNG,LM,63,70 ,56 ,55 ,66 ,31 ,67 
CRAMER,LM,63,72 ,55 ,60 ,60 ,62 ,63 
HANSEN,CM,60,75 ,58 ,57 ,61 ,61 ,72 
SKOV,RM,59,70 ,59 ,52 ,61 ,33 ,53 
SKYTTE,CM,51,53 ,42 ,48 ,49 ,47 ,68 
FLINTA,CB,67,73 ,52 ,49 ,62 ,66 ,69 
JAKOBSEN,CB,64,59 ,33 ,49 ,47 ,63 ,72 
GAMMELBY,RB,57,62 ,41 ,53 ,59 ,55 ,63 
DAHL,LB,54,66 ,39 ,49 ,51 ,49 ,57 
RASMUSSEN,CB,54,65 ,31 ,31 ,48 ,53 ,62 
NØRGAARD,GK,57,56 ,56 ,60 ,58 ,31 ,53 
RINKE,GK,56,60 ,52 ,50 ,57 ,42 ,53 
