BECHMANN,ST,68,73 ,68 ,57 ,65 ,31 ,66 
UHRE,ST,62,74 ,60 ,42 ,59 ,20 ,63 
JAKOBSEN,RW,58,71 ,59 ,53 ,58 ,31 ,69 
OLESEN,ST,56,75 ,52 ,48 ,59 ,32 ,58 
OKWI,ST,56,82 ,59 ,40 ,56 ,16 ,47 
ABSALONSEN,LM,70,79 ,67 ,66 ,70 ,42 ,68 
DRACHMANN,CDM,69,67 ,48 ,66 ,62 ,62 ,72 
MADSEN,CM,68,68 ,66 ,65 ,65 ,60 ,74 
KROON,RM,68,86 ,62 ,60 ,68 ,31 ,58 
MATTILA,CM,67,66 ,67 ,65 ,62 ,67 ,73 
JÓNSSON,CDM,66,51 ,56 ,60 ,58 ,66 ,74 
KLØVE,LM,64,77 ,58 ,58 ,67 ,52 ,50 
RØMER,CM,63,68 ,55 ,60 ,63 ,54 ,67 
KANSTRUP,CB,72,69 ,41 ,60 ,59 ,69 ,79 
POULSEN,LB,72,74 ,52 ,65 ,71 ,70 ,73 
LUIJCKX,CB,67,62 ,55 ,56 ,56 ,65 ,70 
PEDERSEN,RB,66,71 ,41 ,58 ,53 ,67 ,78 
MAAK,CB,64,49 ,31 ,48 ,51 ,61 ,76 
DAL HENDE,LB,64,73 ,61 ,61 ,68 ,57 ,74 
RAMON,RB,62,79 ,36 ,46 ,51 ,59 ,78 
RITTER,LB,60,77 ,46 ,56 ,62 ,54 ,58 
HEDEGAARD,RB,54,62 ,48 ,49 ,56 ,51 ,56 
NISSEN,CB,52,54 ,24 ,38 ,44 ,51 ,56 
SKENDER,GK,68,67 ,65 ,61 ,71 ,41 ,66 
FERNANDES,GK,55,53 ,58 ,51 ,55 ,42 ,53 
LAURSEN,GK,50,51 ,49 ,47 ,58 ,18 ,44 
