DEBLÉ,ST,66,85 ,60 ,59 ,71 ,23 ,61 
CURTH,ST,65,60 ,60 ,59 ,63 ,37 ,67 
PARK,ST,62,79 ,60 ,58 ,65 ,37 ,47 
STANKOV,CF,62,68 ,64 ,54 ,62 ,25 ,72 
FREDERIKSEN,ST,59,56 ,56 ,41 ,59 ,24 ,64 
VESTERGAARD,ST,58,72 ,56 ,34 ,61 ,27 ,59 
THYCHOSEN,RW,57,70 ,56 ,50 ,58 ,19 ,63 
KAMPER,RM,67,73 ,68 ,66 ,65 ,32 ,61 
KELLER,CM,64,59 ,53 ,62 ,63 ,62 ,72 
AKHARRAZ,LM,64,74 ,55 ,57 ,67 ,25 ,62 
FOCHIVE,CDM,63,67 ,39 ,49 ,62 ,61 ,76 
SIVEBÆK,RM,63,81 ,49 ,58 ,61 ,40 ,75 
BRUHN,RM,62,67 ,52 ,58 ,65 ,36 ,51 
GRØNNING,CDM,62,54 ,34 ,48 ,49 ,63 ,62 
JAKOBSEN,CM,61,71 ,54 ,59 ,74 ,41 ,54 
WICHMANN,CM,60,55 ,59 ,59 ,62 ,53 ,59 
RASK,CB,68,50 ,27 ,59 ,50 ,67 ,72 
VELDMATE,CB,68,33 ,50 ,59 ,48 ,68 ,77 
MOBERG,CB,66,57 ,29 ,38 ,40 ,65 ,71 
ANDERSEN,CB,62,55 ,34 ,42 ,40 ,62 ,67 
REESE,CB,62,53 ,35 ,44 ,42 ,62 ,64 
MENSAH,CB,60,63 ,22 ,31 ,40 ,56 ,68 
THORSEN,LB,59,63 ,33 ,44 ,55 ,60 ,66 
PALLESEN,RB,59,72 ,30 ,48 ,55 ,55 ,66 
JENSEN,GK,63,64 ,64 ,56 ,62 ,29 ,67 
LINNET,GK,54,53 ,53 ,50 ,55 ,42 ,52 
