ENGVALL,ST,72,80 ,75 ,57 ,70 ,31 ,80 
ENGVALL,ST,68,78 ,65 ,54 ,64 ,27 ,76 
RANÉGIE,ST,65,48 ,62 ,56 ,54 ,30 ,74 
JAWO,ST,61,74 ,57 ,55 ,64 ,41 ,62 
OLUNGA,ST,60,70 ,58 ,39 ,51 ,22 ,75 
KADEWERE,ST,59,76 ,53 ,52 ,64 ,27 ,57 
KÄLLSTRÖM,CM,75,52 ,75 ,83 ,73 ,64 ,78 
ERIKSSON,RM,72,62 ,75 ,73 ,75 ,48 ,80 
ERIKSSON,RM,69,60 ,67 ,69 ,68 ,44 ,75 
RADETINAC,RM,69,69 ,60 ,67 ,72 ,28 ,64 
MRABTI,RM,68,81 ,56 ,62 ,72 ,51 ,75 
WALKER,CM,66,55 ,59 ,68 ,61 ,56 ,67 
FALTSETAS,CM,65,58 ,52 ,63 ,59 ,62 ,80 
KARLSTRÖM,CM,64,65 ,57 ,63 ,60 ,48 ,62 
BERNTSEN,LM,63,70 ,66 ,58 ,67 ,38 ,49 
EL KABIR,LM,60,72 ,60 ,53 ,66 ,26 ,45 
MIN,RM,59,78 ,49 ,51 ,66 ,23 ,47 
SABOVIC,CM,57,65 ,51 ,57 ,59 ,40 ,57 
MAYAMBELA,RM,54,67 ,48 ,50 ,56 ,28 ,52 
OLSSON,CB,76,52 ,56 ,63 ,52 ,75 ,76 
CEESAY,CB,67,88 ,50 ,56 ,62 ,63 ,78 
HANSSON,CB,64,55 ,49 ,54 ,55 ,59 ,80 
BJÖRKSTRÖM,RB,64,68 ,37 ,57 ,55 ,62 ,69 
KÄCK,LB,64,84 ,46 ,62 ,64 ,55 ,62 
GUNNARSSON,RB,64,69 ,50 ,55 ,51 ,64 ,75 
LARSSON,CB,64,62 ,46 ,44 ,41 ,65 ,66 
AUGUSTINSSON,LB,54,58 ,29 ,41 ,52 ,52 ,55 
ISAKSSON,GK,72,75 ,68 ,63 ,75 ,36 ,71 
HØIE,GK,66,67 ,56 ,66 ,67 ,35 ,65 
NILSSON,GK,61,61 ,66 ,52 ,60 ,43 ,59 
JONSSON,GK,54,58 ,49 ,55 ,58 ,48 ,46 
