RUSIKE,ST,67,76 ,69 ,59 ,68 ,23 ,63 
DAHLBERG,ST,65,48 ,62 ,52 ,52 ,42 ,82 
LARSSON,ST,64,72 ,64 ,59 ,66 ,24 ,54 
HALLENIUS,ST,64,72 ,62 ,52 ,58 ,30 ,72 
LANGE,ST,64,78 ,56 ,45 ,67 ,29 ,71 
MÅRTENSSON,CM,66,60 ,52 ,64 ,64 ,59 ,73 
WEDE,CM,66,70 ,58 ,64 ,68 ,50 ,68 
BOJANIĆ,CM,65,67 ,61 ,67 ,71 ,49 ,61 
ATAKORA,RM,65,80 ,54 ,58 ,69 ,40 ,67 
WEDE,RM,65,78 ,52 ,61 ,68 ,46 ,66 
CHRISTENSEN,LM,64,74 ,55 ,58 ,67 ,28 ,61 
ACHINIOTI-JÖNSSON,CDM,59,68 ,41 ,47 ,49 ,60 ,62 
SAMUEL,LM,57,84 ,46 ,50 ,59 ,39 ,52 
LARSSON,CB,66,38 ,33 ,38 ,30 ,65 ,74 
LANDGREN,RB,65,59 ,54 ,62 ,61 ,63 ,76 
HELSTRUP,CB,65,59 ,28 ,44 ,52 ,64 ,70 
LJUNG,LB,64,69 ,37 ,56 ,58 ,61 ,72 
ERIKSSON,LB,64,79 ,46 ,60 ,56 ,58 ,71 
JOHANSSON,CB,63,52 ,25 ,38 ,45 ,61 ,70 
ANDERSSON,RB,61,41 ,56 ,63 ,60 ,60 ,66 
BJÖRKMAN,CB,61,52 ,23 ,36 ,42 ,60 ,63 
BINDELÖV,RB,57,72 ,26 ,41 ,48 ,54 ,60 
LARSSON,RB,56,76 ,27 ,41 ,52 ,50 ,58 
PYZDROWSKI,GK,64,68 ,54 ,53 ,73 ,42 ,60 
CHENCINSKI,GK,62,60 ,63 ,59 ,57 ,35 ,68 
ANDERSSON,GK,57,50 ,51 ,48 ,55 ,12 ,66 
