HYSÉN,ST,73,82 ,73 ,63 ,66 ,32 ,66 
BOMAN,ST,67,59 ,63 ,52 ,57 ,31 ,84 
ÓMARSSON,ST,64,84 ,61 ,53 ,70 ,30 ,54 
ALBÆK,CM,73,55 ,67 ,73 ,68 ,60 ,74 
RIEKS,LM,71,74 ,69 ,66 ,73 ,31 ,57 
ERIKSSON,CM,70,66 ,54 ,68 ,68 ,59 ,74 
DISKERUD,CM,70,67 ,65 ,69 ,69 ,56 ,67 
ANKERSEN,RM,69,87 ,61 ,63 ,69 ,38 ,63 
SMEDBERG-DALENCE,RM,67,60 ,61 ,72 ,60 ,52 ,72 
PETTERSSON,CDM,65,59 ,51 ,54 ,57 ,62 ,80 
BJØRDAL,RM,65,70 ,59 ,63 ,66 ,54 ,63 
LAGEMYR,LM,61,77 ,48 ,58 ,69 ,15 ,27 
KASIM,LM,59,71 ,50 ,52 ,67 ,26 ,40 
SABAH,CM,56,67 ,44 ,55 ,61 ,47 ,63 
ROGNE,CB,73,50 ,28 ,51 ,51 ,75 ,74 
BJÄRSMYR,CB,72,61 ,34 ,44 ,46 ,73 ,74 
SALOMONSSON,RB,71,85 ,58 ,64 ,64 ,64 ,68 
JAMIESON,LB,68,73 ,52 ,61 ,63 ,66 ,75 
WIKLANDER,CB,65,61 ,32 ,48 ,48 ,62 ,72 
JOHANSSON,RB,64,58 ,37 ,57 ,57 ,65 ,72 
JÓNSSON,CB,63,33 ,41 ,53 ,46 ,62 ,69 
NORDSTRÖM,LB,59,69 ,39 ,61 ,57 ,54 ,58 
ZALO,CB,54,53 ,20 ,32 ,34 ,51 ,63 
ALVBÅGE,GK,72,65 ,76 ,64 ,65 ,42 ,78 
DAHLIN,GK,60,60 ,55 ,55 ,64 ,34 ,55 
