AJDAREVIĆ,CF,70,64 ,66 ,75 ,71 ,45 ,67 
IGBOANANIKE,ST,67,90 ,65 ,50 ,69 ,29 ,61 
SKÖLD,ST,62,65 ,61 ,51 ,58 ,24 ,63 
LUNDBERG,ST,55,63 ,55 ,35 ,57 ,20 ,56 
SEMA,CAM,67,77 ,63 ,59 ,72 ,33 ,49 
GERZIĆ,CM,67,54 ,49 ,71 ,70 ,46 ,60 
MÅRTENSSON,CM,66,60 ,52 ,64 ,64 ,59 ,73 
BROBERG,RM,66,78 ,66 ,62 ,64 ,43 ,61 
BESARA,CAM,65,67 ,57 ,62 ,65 ,47 ,58 
PLESSIS,CDM,65,50 ,49 ,58 ,62 ,65 ,71 
AYAZ,LM,65,72 ,62 ,62 ,65 ,32 ,55 
PERSSON,CM,65,50 ,56 ,61 ,54 ,61 ,83 
NORDMARK,CM,63,57 ,46 ,63 ,65 ,39 ,46 
NAAH,CM,61,74 ,55 ,56 ,68 ,44 ,54 
OMOH,RM,61,88 ,52 ,48 ,66 ,26 ,64 
BJÖRNQUIST,RB,66,88 ,35 ,49 ,60 ,60 ,70 
MOBERG,CB,66,57 ,29 ,38 ,40 ,65 ,71 
LORENTZSON,RB,66,70 ,47 ,55 ,62 ,64 ,66 
ALMEBÄCK,CB,65,78 ,32 ,44 ,38 ,61 ,79 
HAGINGE,RB,60,55 ,45 ,51 ,50 ,59 ,71 
HINES-IKE,CB,59,68 ,43 ,47 ,54 ,56 ,64 
VALGARÐSSON,LB,59,66 ,48 ,56 ,51 ,55 ,62 
RING,LB,58,68 ,30 ,55 ,55 ,55 ,59 
HAMRÉN,CB,55,60 ,23 ,31 ,34 ,55 ,58 
JANSSON,GK,67,72 ,60 ,62 ,74 ,31 ,61 
