SYLLA,ST,69,72 ,69 ,53 ,68 ,38 ,68 
TAULEMESSE,ST,68,63 ,71 ,45 ,56 ,32 ,68 
JEFFRÉN,RW,67,75 ,58 ,65 ,72 ,43 ,53 
MOUCHAMPS,ST,56,74 ,55 ,48 ,60 ,22 ,50 
DIARRA,RM,70,83 ,65 ,65 ,74 ,38 ,58 
BRÜLS,LM,70,75 ,63 ,69 ,71 ,36 ,58 
GARCÍA,CAM,70,61 ,68 ,71 ,70 ,48 ,63 
DUFOUR,CM,66,61 ,65 ,66 ,67 ,45 ,63 
OCANSEY,RM,66,82 ,54 ,60 ,72 ,24 ,54 
CASES,CAM,66,62 ,59 ,63 ,69 ,32 ,45 
ONYEKURU,LM,64,80 ,56 ,54 ,70 ,26 ,54 
ONYEKURU,LM,64,85 ,67 ,70 ,80 ,35 ,62 
AMANI,CM,63,78 ,54 ,59 ,68 ,47 ,54 
BASSEY,RM,62,82 ,59 ,54 ,66 ,34 ,60 
GEORGE,CDM,61,79 ,36 ,53 ,65 ,58 ,62 
MNGADI,RM,61,77 ,54 ,55 ,66 ,29 ,47 
SANOGO,CAM,59,72 ,49 ,52 ,69 ,36 ,49 
BLONDELLE,CB,67,55 ,47 ,60 ,55 ,65 ,71 
TIMMERMANS,RB,67,64 ,47 ,58 ,61 ,67 ,68 
DIAGNÉ,RB,66,79 ,39 ,55 ,62 ,65 ,63 
KENNE,RB,65,76 ,41 ,57 ,63 ,62 ,58 
HACKENBERG,CB,63,48 ,27 ,42 ,42 ,62 ,75 
DIALLO,CB,63,75 ,32 ,39 ,47 ,63 ,63 
ABDULRAHMAN,LB,62,77 ,32 ,54 ,66 ,58 ,50 
RADEBE,LB,60,79 ,35 ,51 ,62 ,56 ,59 
CROMBRUGGE,GK,64,68 ,66 ,63 ,68 ,61 ,58 
BIERSARD,GK,62,62 ,62 ,55 ,60 ,53 ,63 
NIASSE,GK,61,67 ,59 ,57 ,64 ,33 ,53 
