HARBAOUI,ST,73,67 ,69 ,62 ,70 ,31 ,81 
POLLET,ST,70,68 ,73 ,48 ,56 ,31 ,72 
BEDIA,ST,63,73 ,57 ,40 ,62 ,28 ,65 
NINIS,CAM,73,67 ,66 ,73 ,76 ,26 ,58 
TAINMONT,LM,71,70 ,68 ,71 ,69 ,45 ,69 
MARCQ,CDM,71,56 ,48 ,61 ,62 ,70 ,74 
SAĞLIK,CM,70,67 ,64 ,71 ,73 ,55 ,58 
BAKAR,LM,69,78 ,71 ,62 ,73 ,28 ,59 
DIANDY,CDM,69,70 ,50 ,64 ,67 ,66 ,74 
BABY,LM,69,86 ,61 ,62 ,68 ,59 ,74 
FALL,RM,66,81 ,64 ,58 ,66 ,25 ,68 
STEVANCE,RM,65,74 ,67 ,62 ,61 ,32 ,72 
HENDRICKX,RM,64,69 ,54 ,59 ,63 ,48 ,65 
BENAVENTE,CAM,64,76 ,50 ,58 ,72 ,31 ,44 
MARTOS,CB,74,67 ,40 ,70 ,72 ,82 ,80 
MARTOS,CB,71,63 ,34 ,61 ,62 ,72 ,65 
N'GANGA,LB,70,76 ,42 ,60 ,65 ,68 ,70 
MARINOS,RB,70,74 ,45 ,63 ,66 ,70 ,66 
MATA,RB,69,88 ,57 ,60 ,69 ,62 ,69 
DESSOLEIL,CB,67,55 ,31 ,48 ,45 ,67 ,66 
WILLEMS,CB,67,72 ,36 ,56 ,56 ,67 ,65 
BOULENGER,LB,64,65 ,32 ,58 ,60 ,63 ,71 
ZAJKOV,CB,63,44 ,24 ,45 ,44 ,62 ,67 
SMARS,CB,55,57 ,26 ,39 ,39 ,53 ,64 
PENNETEAU,GK,73,70 ,79 ,64 ,67 ,42 ,82 
MANDANDA,GK,69,72 ,66 ,67 ,73 ,53 ,65 
BAUME,GK,57,58 ,54 ,55 ,64 ,44 ,50 
