DE SUTTER,ST,73,58 ,73 ,60 ,60 ,42 ,84 
JAJÁ,ST,69,56 ,72 ,60 ,66 ,29 ,66 
ENOH,ST,64,70 ,62 ,47 ,58 ,26 ,74 
OVERMEIRE,CDM,74,64 ,53 ,69 ,65 ,68 ,83 
PATOSI,LM,73,73 ,66 ,72 ,77 ,24 ,40 
PERSOONS,CM,70,65 ,63 ,66 ,67 ,66 ,71 
HUPPERTS,RM,70,85 ,61 ,62 ,74 ,42 ,63 
BOLBAT,CAM,70,79 ,60 ,65 ,72 ,31 ,42 
DE RIDDER,CAM,70,78 ,68 ,64 ,73 ,34 ,68 
NGOLOK,CM,68,77 ,63 ,62 ,68 ,65 ,75 
TERKI,CDM,66,59 ,54 ,62 ,71 ,63 ,72 
RASSOUL,CDM,66,74 ,42 ,50 ,64 ,66 ,76 
JAMBOR,CDM,64,69 ,44 ,60 ,64 ,60 ,68 
OFKIR,LM,63,87 ,55 ,53 ,68 ,26 ,49 
STRAETMAN,LM,60,72 ,53 ,55 ,58 ,26 ,51 
RINGOET,CDM,59,64 ,42 ,56 ,61 ,54 ,57 
MINGIEDI,CM,56,67 ,46 ,58 ,59 ,42 ,47 
CARLOS,CB,71,54 ,47 ,61 ,57 ,72 ,68 
GALITSIOS,RB,71,74 ,29 ,69 ,67 ,69 ,72 
MARIĆ,CB,71,38 ,55 ,49 ,46 ,73 ,76 
INGASON,CB,71,61 ,49 ,52 ,54 ,70 ,75 
TIČINOVIĆ,RB,68,72 ,51 ,62 ,70 ,66 ,69 
NIŇAJ,CB,65,37 ,24 ,53 ,48 ,64 ,71 
SKÚLASON,LB,64,66 ,59 ,69 ,69 ,55 ,71 
GYSELINCK,CB,59,54 ,28 ,46 ,42 ,59 ,61 
VERHULST,GK,71,73 ,72 ,71 ,71 ,56 ,69 
BARRY,GK,69,68 ,63 ,56 ,75 ,53 ,70 
