BELFODIL,ST,86,70 ,83 ,82 ,85 ,40 ,87 
BELFODIL,ST,75,66 ,73 ,69 ,73 ,31 ,80 
RAMAN,ST,71,92 ,71 ,60 ,74 ,24 ,58 
YATTARA,ST,70,80 ,65 ,57 ,69 ,25 ,69 
EMOND,ST,70,68 ,70 ,54 ,62 ,27 ,63 
MMAEE,ST,62,76 ,56 ,53 ,67 ,28 ,61 
MMAEE,ST,62,76 ,56 ,53 ,67 ,28 ,61 
DANILO,CM,79,68 ,65 ,74 ,79 ,79 ,81 
DOSSEVI,RM,76,82 ,68 ,73 ,79 ,36 ,61 
TREBEL,CM,75,77 ,64 ,72 ,76 ,61 ,70 
TOURÉ,CDM,73,44 ,46 ,64 ,66 ,69 ,73 
MALLMANN,CM,72,74 ,71 ,72 ,75 ,63 ,70 
JUNIOR,LM,72,78 ,69 ,64 ,77 ,44 ,65 
NDONGALA,RM,72,86 ,55 ,64 ,77 ,28 ,55 
ENOH,CDM,72,64 ,38 ,52 ,63 ,73 ,78 
CISSÉ,CDM,71,75 ,41 ,64 ,65 ,68 ,75 
BAHLOULI,CAM,71,75 ,61 ,67 ,75 ,47 ,66 
DIARRA,RM,70,83 ,65 ,65 ,74 ,38 ,58 
LEGEAR,RM,69,75 ,67 ,65 ,72 ,40 ,59 
SCHOLZ,CB,75,68 ,50 ,59 ,65 ,75 ,77 
KOSANOVIĆ,CB,74,56 ,50 ,70 ,60 ,74 ,76 
ECHIÉJILÉ,LB,73,73 ,58 ,61 ,68 ,72 ,84 
FIORE,LB,72,70 ,35 ,65 ,59 ,71 ,71 
GOREUX,RB,72,77 ,63 ,67 ,69 ,70 ,68 
MLADENOVIĆ,LB,71,76 ,52 ,61 ,67 ,67 ,62 
ANDRADE,LB,71,81 ,41 ,52 ,63 ,69 ,68 
ARSLANAGIC,CB,70,52 ,33 ,46 ,44 ,68 ,76 
LAIFIS,CB,70,67 ,64 ,63 ,65 ,70 ,70 
FAI,RB,69,85 ,32 ,56 ,65 ,67 ,63 
GILLET,GK,81,75 ,82 ,77 ,80 ,44 ,84 
GILLET,GK,75,69 ,77 ,70 ,74 ,39 ,80 
HUBERT,GK,70,70 ,71 ,70 ,70 ,47 ,66 
