KLOS,ST,72,67 ,71 ,46 ,61 ,32 ,80 
BRANDY,ST,71,79 ,67 ,64 ,69 ,30 ,78 
VOGLSAMMER,ST,66,74 ,64 ,52 ,67 ,28 ,73 
PUTARO,ST,62,62 ,62 ,44 ,56 ,27 ,63 
YABO,CAM,74,80 ,70 ,70 ,75 ,70 ,80 
YABO,CDM,70,78 ,57 ,64 ,70 ,66 ,76 
NÖTHE,LM,69,74 ,67 ,61 ,69 ,34 ,70 
SCHÜTZ,CDM,68,65 ,49 ,59 ,60 ,68 ,68 
HEMLEIN,RM,68,82 ,65 ,63 ,67 ,39 ,70 
MAK,LM,68,90 ,66 ,61 ,71 ,21 ,43 
ULM,CAM,67,77 ,60 ,61 ,73 ,25 ,45 
JUNGLAS,CM,67,68 ,62 ,64 ,64 ,63 ,74 
GÖRLITZ,RM,67,75 ,59 ,64 ,72 ,35 ,56 
PRIETL,CDM,66,66 ,49 ,58 ,61 ,64 ,74 
HOŁOTA,CDM,65,60 ,55 ,59 ,59 ,63 ,73 
BRINKMANN,CM,65,53 ,57 ,62 ,58 ,60 ,77 
STAUDE,CAM,57,66 ,50 ,54 ,60 ,45 ,48 
DANTAS,CAM,54,64 ,44 ,49 ,62 ,26 ,53 
BÖRNER,CB,71,64 ,41 ,53 ,56 ,71 ,75 
BEHRENDT,CB,70,66 ,63 ,58 ,57 ,68 ,75 
DICK,RB,70,67 ,62 ,65 ,61 ,70 ,76 
HARTHERZ,LB,68,75 ,47 ,61 ,65 ,66 ,75 
CACUTALUA,CB,68,69 ,35 ,45 ,49 ,68 ,67 
SALGER,CB,68,73 ,38 ,58 ,61 ,66 ,71 
SCHUPPAN,LB,67,69 ,49 ,54 ,60 ,67 ,72 
HORNIG,CB,66,36 ,40 ,45 ,43 ,66 ,73 
LANG,RB,63,66 ,48 ,58 ,65 ,61 ,58 
HESL,GK,73,74 ,71 ,62 ,74 ,36 ,73 
DAVARI,GK,66,65 ,65 ,69 ,67 ,31 ,63 
REHNEN,GK,58,59 ,55 ,54 ,61 ,33 ,58 
GAYE,GK,53,54 ,50 ,49 ,58 ,18 ,54 
