NYMAN,ST,70,83 ,65 ,58 ,66 ,23 ,77 
ABDULLAHI,ST,69,80 ,66 ,47 ,64 ,20 ,77 
KUMBELA,ST,68,77 ,68 ,62 ,68 ,31 ,64 
BIADA,ST,65,71 ,68 ,58 ,66 ,35 ,61 
TIETZ,ST,61,55 ,57 ,47 ,61 ,30 ,64 
BOLAND,CM,73,78 ,67 ,72 ,75 ,62 ,71 
KHELIFI,RM,72,82 ,62 ,67 ,77 ,27 ,47 
HOCHSCHEIDT,LM,71,74 ,68 ,69 ,72 ,52 ,75 
MATUSCHYK,CM,70,66 ,64 ,67 ,70 ,67 ,65 
OMLADIČ,RM,68,75 ,55 ,65 ,72 ,45 ,61 
SCHÖNFELD,CM,68,74 ,64 ,64 ,70 ,51 ,78 
ZUCK,LM,67,75 ,60 ,63 ,69 ,32 ,47 
MOLL,CDM,65,61 ,46 ,60 ,60 ,60 ,66 
HERNANDEZ,RM,61,78 ,54 ,53 ,66 ,16 ,62 
REICHEL,LB,73,74 ,67 ,66 ,67 ,72 ,75 
CORREIA,CB,73,66 ,41 ,61 ,61 ,72 ,74 
DECARLI,CB,72,67 ,28 ,49 ,52 ,71 ,72 
BAFFO,CB,70,71 ,32 ,46 ,53 ,70 ,73 
OFOSU-AYEH,RB,69,90 ,47 ,59 ,67 ,63 ,78 
VALSVIK,CB,68,51 ,52 ,46 ,36 ,66 ,82 
SAUER,RWB,65,74 ,43 ,55 ,65 ,61 ,57 
KIJEWSKI,LB,62,68 ,30 ,56 ,62 ,61 ,57 
BAGHDADI,LB,59,63 ,32 ,44 ,59 ,59 ,54 
FEJZIĆ,GK,66,67 ,66 ,60 ,64 ,18 ,64 
ENGELHARDT,GK,56,55 ,55 ,53 ,60 ,48 ,52 
