BOUHADDOUZ,ST,72,67 ,72 ,51 ,64 ,23 ,79 
THY,ST,70,78 ,67 ,61 ,68 ,44 ,77 
DUCKSCH,ST,67,67 ,64 ,48 ,63 ,31 ,60 
PICAULT,ST,67,88 ,65 ,56 ,70 ,27 ,50 
CHOI,CF,64,76 ,62 ,52 ,71 ,32 ,50 
EMPEN,ST,55,68 ,54 ,40 ,52 ,16 ,56 
FLUM,CDM,73,50 ,64 ,70 ,66 ,70 ,72 
SOBOTA,RM,71,90 ,65 ,62 ,74 ,36 ,51 
MIYAICHI,RM,70,94 ,55 ,61 ,73 ,25 ,40 
NEHRIG,CDM,70,73 ,56 ,65 ,66 ,67 ,74 
ŞAHIN,LM,70,83 ,52 ,64 ,73 ,28 ,52 
DÆHLI,LM,70,75 ,53 ,68 ,76 ,22 ,44 
BUCHTMANN,CM,70,70 ,61 ,70 ,73 ,57 ,66 
DUDZIAK,LM,67,78 ,54 ,63 ,72 ,60 ,56 
AVEVOR,CDM,66,68 ,42 ,56 ,58 ,65 ,78 
NEUDECKER,CM,60,68 ,45 ,62 ,64 ,47 ,46 
LITKA,LM,56,67 ,47 ,50 ,62 ,31 ,41 
ROSIN,CM,55,60 ,43 ,53 ,60 ,50 ,57 
SOBIECH,CB,74,52 ,49 ,47 ,40 ,75 ,75 
ZIEREIS,CB,72,75 ,27 ,54 ,57 ,72 ,69 
HEDENSTAD,RB,71,78 ,57 ,68 ,74 ,64 ,66 
BUBALLA,LB,70,81 ,43 ,63 ,64 ,62 ,74 
GONTHER,CB,69,64 ,33 ,44 ,44 ,69 ,67 
HORNSCHUH,RB,68,60 ,40 ,58 ,58 ,70 ,68 
KALLA,RB,67,68 ,46 ,58 ,62 ,66 ,70 
KELLER,LB,60,67 ,34 ,51 ,58 ,58 ,68 
RASMUSSEN,CB,58,57 ,24 ,39 ,48 ,55 ,64 
HIMMELMANN,GK,73,71 ,68 ,62 ,78 ,33 ,75 
HEERWAGEN,GK,64,63 ,60 ,58 ,68 ,33 ,63 
BRODERSEN,GK,54,55 ,53 ,49 ,56 ,42 ,54 
