SOBIECH,ST,74,71 ,70 ,59 ,69 ,37 ,72 
FÜLLKRUG,ST,73,75 ,69 ,61 ,69 ,28 ,76 
BENSCHOP,ST,72,70 ,73 ,64 ,67 ,36 ,78 
GUÈYE,ST,64,71 ,64 ,40 ,56 ,18 ,62 
SANÉ,CDM,78,64 ,47 ,65 ,67 ,81 ,81 
SCHMIEDEBACH,CDM,76,72 ,47 ,70 ,76 ,73 ,74 
HARNIK,RM,75,81 ,72 ,70 ,72 ,41 ,78 
PRIB,LM,74,78 ,67 ,71 ,75 ,64 ,70 
KLAUS,LM,73,85 ,65 ,65 ,73 ,33 ,68 
BECH,RM,72,85 ,68 ,62 ,74 ,20 ,63 
BAKALORZ,CDM,72,65 ,66 ,60 ,67 ,69 ,79 
FOSSUM,CM,71,72 ,62 ,65 ,73 ,58 ,65 
KARAMAN,RM,70,68 ,67 ,62 ,70 ,25 ,71 
MAIER,CAM,68,78 ,61 ,65 ,72 ,28 ,56 
WOLF,LM,67,86 ,59 ,56 ,68 ,31 ,64 
BAZEE,RM,65,83 ,58 ,58 ,69 ,28 ,50 
HOFFMANN,CB,74,52 ,38 ,57 ,56 ,74 ,74 
SORG,RB,74,74 ,55 ,66 ,71 ,74 ,69 
ALBORNOZ,LB,72,70 ,52 ,72 ,74 ,68 ,71 
FELIPE,CB,72,58 ,43 ,52 ,56 ,69 ,75 
STRANDBERG,CB,70,67 ,43 ,52 ,58 ,69 ,74 
HÜBNER,CB,70,55 ,43 ,48 ,43 ,71 ,70 
ANTON,CB,64,51 ,36 ,44 ,49 ,63 ,68 
ARKENBERG,RB,60,66 ,31 ,45 ,51 ,63 ,63 
HÜBERS,CB,60,72 ,39 ,52 ,54 ,57 ,65 
TSCHAUNER,GK,69,69 ,68 ,63 ,71 ,38 ,65 
MARIĆ,GK,66,72 ,62 ,66 ,70 ,44 ,67 
SAHIN-RADLINGER,GK,64,63 ,60 ,56 ,68 ,42 ,62 
KÖNIGSMANN,GK,61,59 ,63 ,64 ,70 ,48 ,51 
