KUTSCHKE,ST,71,60 ,75 ,45 ,60 ,35 ,80 
TESTROET,ST,68,72 ,69 ,54 ,67 ,37 ,77 
STEFANIAK,LW,68,86 ,60 ,68 ,69 ,26 ,57 
KUTSCHKE,ST,66,54 ,66 ,41 ,54 ,33 ,77 
VÄYRYNEN,ST,65,66 ,64 ,45 ,60 ,29 ,66 
HILßNER,CF,61,70 ,62 ,59 ,61 ,31 ,66 
GOGIA,RW,71,75 ,70 ,68 ,77 ,32 ,62 
LAMBERTZ,CDM,70,72 ,63 ,63 ,66 ,69 ,78 
KONRAD,CDM,69,66 ,56 ,60 ,58 ,68 ,78 
HARTMANN,CDM,67,50 ,57 ,55 ,53 ,68 ,77 
AOSMAN,CAM,67,78 ,62 ,65 ,71 ,32 ,64 
GOGIA,LM,67,73 ,61 ,62 ,72 ,28 ,57 
BERKO,LM,66,82 ,57 ,57 ,67 ,29 ,61 
HAUPTMANN,CM,56,69 ,44 ,59 ,63 ,45 ,48 
FLUß,CDM,54,61 ,48 ,50 ,56 ,52 ,60 
HEISE,LB,70,70 ,49 ,63 ,66 ,67 ,72 
TEIXEIRA,LB,69,78 ,50 ,64 ,71 ,65 ,63 
MODICA,CB,68,59 ,34 ,39 ,46 ,68 ,72 
KREUZER,RB,67,79 ,48 ,60 ,68 ,59 ,70 
BALLAS,CB,67,31 ,32 ,37 ,39 ,67 ,71 
MÜLLER,LB,65,76 ,52 ,58 ,66 ,61 ,67 
STAROSTZIK,CB,65,52 ,31 ,39 ,45 ,64 ,72 
WACHS,LB,63,73 ,30 ,56 ,63 ,56 ,58 
MÜLLER,CB,62,64 ,31 ,40 ,44 ,60 ,65 
LANDGRAF,LB,56,71 ,29 ,47 ,60 ,51 ,57 
SCHWÄBE,GK,68,71 ,68 ,70 ,72 ,49 ,59 
WIEGERS,GK,65,64 ,65 ,60 ,69 ,47 ,61 
KORNETZKY,GK,59,63 ,59 ,51 ,60 ,33 ,53 
SCHUBERT,GK,57,64 ,58 ,51 ,64 ,48 ,44 
