ŽULJ,CF,71,53 ,70 ,71 ,70 ,30 ,67 
BERISHA,ST,69,80 ,65 ,55 ,69 ,36 ,79 
VUKUŠIĆ,ST,67,77 ,65 ,54 ,67 ,21 ,52 
AZEMI,ST,67,54 ,65 ,52 ,61 ,27 ,64 
STEININGER,ST,58,72 ,54 ,44 ,58 ,21 ,55 
BODENRÖDER,ST,57,78 ,55 ,50 ,63 ,26 ,55 
KAYAROGLU,CF,56,67 ,50 ,51 ,66 ,25 ,50 
FREIS,LM,71,75 ,69 ,65 ,68 ,43 ,69 
SARARER,LM,70,82 ,67 ,64 ,73 ,38 ,63 
GJASULA,CM,70,64 ,67 ,73 ,71 ,43 ,71 
HOFMANN,CDM,68,58 ,42 ,58 ,59 ,66 ,75 
BOLLY,RM,67,96 ,61 ,55 ,65 ,30 ,58 
TRIPIĆ,RM,67,77 ,66 ,63 ,68 ,31 ,58 
DAVIES,LM,59,79 ,42 ,50 ,65 ,33 ,55 
RAPP,CDM,59,55 ,35 ,50 ,49 ,60 ,67 
KIRSCH,CDM,54,57 ,36 ,51 ,49 ,54 ,54 
CALIGIURI,CB,72,67 ,57 ,67 ,66 ,71 ,73 
BERGH,LB,71,77 ,40 ,59 ,64 ,71 ,71 
FRANKE,CB,69,51 ,31 ,44 ,50 ,67 ,76 
GIEßELMANN,LB,69,78 ,52 ,65 ,68 ,64 ,70 
HEIDINGER,RB,68,74 ,61 ,64 ,67 ,65 ,69 
GUGGANIG,CB,67,65 ,52 ,49 ,53 ,66 ,72 
NAREY,RB,66,77 ,43 ,56 ,62 ,63 ,66 
SAMA,CB,65,60 ,25 ,35 ,41 ,64 ,71 
SCHAD,RB,56,61 ,34 ,47 ,56 ,56 ,43 
MEGYERI,GK,72,69 ,67 ,79 ,78 ,32 ,75 
MIELITZ,GK,71,72 ,68 ,67 ,73 ,39 ,66 
BURCHERT,GK,67,63 ,65 ,65 ,68 ,48 ,67 
FUNK,GK,60,60 ,58 ,60 ,61 ,39 ,57 
