CÓRDOBA,ST,77,80 ,74 ,61 ,73 ,39 ,82 
MUTŌ,ST,75,78 ,73 ,68 ,78 ,30 ,59 
BERGGREEN,ST,70,61 ,67 ,53 ,66 ,28 ,75 
BOJAN,CAM,82,77 ,73 ,78 ,83 ,24 ,48 
MALLI,CAM,82,79 ,75 ,80 ,86 ,42 ,64 
LATZA,CM,81,70 ,70 ,80 ,82 ,72 ,82 
MALLI,CAM,79,77 ,70 ,75 ,82 ,36 ,59 
JAIRO,LM,77,87 ,62 ,72 ,79 ,32 ,56 
FREI,CM,76,65 ,72 ,76 ,71 ,68 ,73 
DE BLASIS,RM,76,81 ,70 ,70 ,82 ,39 ,61 
LATZA,CM,76,68 ,52 ,74 ,73 ,67 ,76 
CLEMENS,RM,76,85 ,70 ,72 ,75 ,41 ,68 
RODRÍGUEZ,CM,75,70 ,65 ,75 ,77 ,63 ,69 
ÖZTUNALI,RM,74,82 ,62 ,67 ,79 ,60 ,65 
QUAISON,CAM,74,81 ,62 ,72 ,76 ,55 ,67 
GBAMIN,CDM,73,66 ,38 ,66 ,69 ,72 ,74 
BEISTER,RM,73,79 ,70 ,69 ,73 ,39 ,66 
ZIMLING,CM,72,52 ,66 ,69 ,69 ,70 ,75 
ONISIWO,LM,71,79 ,64 ,66 ,74 ,26 ,71 
HOLTMANN,LM,69,92 ,61 ,60 ,69 ,30 ,57 
HALIMI,CAM,68,74 ,61 ,63 ,76 ,35 ,48 
SERDAR,CM,66,64 ,46 ,62 ,68 ,63 ,74 
KLEMENT,CAM,65,54 ,59 ,68 ,70 ,40 ,55 
PARKER,LM,64,77 ,57 ,57 ,68 ,30 ,54 
BELL,CB,77,65 ,40 ,56 ,51 ,80 ,73 
BALOGUN,CB,76,72 ,46 ,62 ,60 ,76 ,80 
BUNGERT,CB,76,66 ,40 ,52 ,52 ,80 ,69 
BROSINSKI,RB,75,86 ,58 ,69 ,73 ,70 ,70 
BUSSMANN,LB,75,71 ,61 ,68 ,65 ,76 ,75 
DONATI,RB,75,75 ,49 ,63 ,62 ,76 ,79 
RAMALHO,CB,72,55 ,57 ,64 ,63 ,72 ,69 
HACK,CB,66,71 ,28 ,59 ,56 ,63 ,67 
SVERKO,LB,56,63 ,27 ,49 ,53 ,54 ,56 
LÖSSL,GK,77,79 ,70 ,71 ,79 ,62 ,78 
CURCI,GK,73,70 ,70 ,59 ,74 ,21 ,79 
HUTH,GK,63,64 ,62 ,68 ,69 ,54 ,56 
MÜLLER,GK,59,58 ,58 ,61 ,62 ,43 ,57 
