MEIER,ST,79,44 ,82 ,76 ,70 ,42 ,73 
SEFEROVIĆ,ST,76,72 ,76 ,66 ,72 ,39 ,79 
SEFEROVIĆ,ST,74,72 ,73 ,66 ,70 ,39 ,79 
HRGOTA,ST,74,74 ,81 ,65 ,78 ,27 ,65 
HRGOTA,ST,71,72 ,76 ,59 ,73 ,23 ,59 
REBIĆ,ST,70,76 ,68 ,58 ,71 ,23 ,66 
BLUM,ST,69,87 ,66 ,58 ,72 ,28 ,60 
BUNJAKI,ST,59,67 ,58 ,45 ,58 ,26 ,60 
BUNJAKI,ST,59,67 ,58 ,45 ,58 ,26 ,60 
FABIÁN,CAM,81,74 ,83 ,80 ,84 ,40 ,72 
HASEBE,CB,81,70 ,60 ,80 ,77 ,82 ,78 
FABIÁN,CAM,78,72 ,77 ,75 ,81 ,36 ,68 
MASCARELL,CM,76,68 ,62 ,69 ,76 ,71 ,75 
STENDERA,CAM,76,70 ,72 ,74 ,78 ,51 ,63 
FABIÁN,CAM,75,71 ,73 ,72 ,78 ,34 ,64 
HASEBE,CDM,75,67 ,52 ,74 ,71 ,72 ,71 
HUSZTI,LM,74,64 ,73 ,76 ,74 ,45 ,66 
MASCARELL,CM,74,68 ,62 ,68 ,74 ,64 ,71 
MEDOJEVIĆ,CDM,73,66 ,47 ,64 ,65 ,72 ,76 
FLUM,CDM,73,50 ,64 ,70 ,66 ,70 ,72 
GAĆINOVIĆ,LM,70,77 ,61 ,62 ,74 ,24 ,48 
TARASHAJ,CAM,69,81 ,65 ,61 ,69 ,23 ,59 
WOLF,LM,67,86 ,59 ,56 ,68 ,31 ,64 
GEREZGIHER,LM,62,71 ,53 ,58 ,66 ,36 ,51 
BESUSCHKOW,CM,59,66 ,51 ,58 ,55 ,52 ,60 
ABRAHAM,CB,77,81 ,55 ,61 ,58 ,76 ,76 
VALLEJO,CB,77,73 ,38 ,58 ,64 ,78 ,72 
CHANDLER,RB,76,79 ,60 ,69 ,68 ,74 ,80 
OCZIPKA,LB,76,71 ,53 ,71 ,71 ,74 ,77 
RUSS,CB,76,51 ,48 ,57 ,48 ,77 ,75 
ANDERSON,CB,76,65 ,42 ,60 ,67 ,76 ,68 
CHANDLER,RB,74,79 ,59 ,65 ,68 ,72 ,80 
ANDERSON,CB,74,65 ,42 ,60 ,66 ,73 ,68 
VALLEJO,CB,73,71 ,38 ,55 ,57 ,75 ,69 
HECTOR,CB,71,70 ,48 ,51 ,58 ,69 ,78 
VARELA,RB,69,81 ,34 ,56 ,67 ,67 ,67 
REGÄSEL,RB,68,72 ,36 ,59 ,67 ,65 ,66 
TAWATHA,LB,68,79 ,35 ,60 ,72 ,62 ,58 
HRÁDECKÝ,GK,86,87 ,85 ,85 ,90 ,46 ,87 
HRÁDECKÝ,GK,84,83 ,80 ,81 ,87 ,42 ,84 
HRÁDECKÝ,GK,81,79 ,76 ,77 ,85 ,37 ,79 
HRÁDECKÝ,GK,78,75 ,75 ,76 ,83 ,37 ,77 
LINDNER,GK,71,74 ,65 ,64 ,74 ,39 ,67 
BÄTGE,GK,56,57 ,54 ,56 ,60 ,29 ,52 
