LASOGGA,ST,77,58 ,79 ,55 ,67 ,38 ,81 
WOOD,ST,74,86 ,73 ,59 ,74 ,27 ,72 
WALDSCHMIDT,ST,63,72 ,62 ,51 ,63 ,19 ,51 
JATTA,RW,61,76 ,56 ,55 ,68 ,28 ,54 
MÜLLER,RM,84,92 ,78 ,83 ,85 ,55 ,75 
MÜLLER,RM,81,90 ,75 ,77 ,83 ,50 ,70 
HUNT,RM,81,73 ,80 ,81 ,82 ,42 ,70 
KOSTIĆ,LM,80,90 ,71 ,75 ,81 ,39 ,72 
HALILOVIĆ,CAM,79,80 ,65 ,78 ,81 ,47 ,50 
HOLTBY,CM,78,70 ,68 ,79 ,79 ,64 ,73 
MÜLLER,RM,77,88 ,69 ,71 ,78 ,46 ,66 
HUNT,CAM,77,71 ,73 ,76 ,78 ,39 ,64 
EKDAL,CM,76,65 ,66 ,74 ,75 ,64 ,77 
BAHOUI,LM,73,77 ,73 ,67 ,72 ,29 ,71 
GREGORITSCH,LM,72,70 ,72 ,69 ,72 ,40 ,66 
JUNG,CDM,69,57 ,42 ,60 ,64 ,70 ,65 
KÖHLERT,LM,61,75 ,59 ,53 ,66 ,29 ,47 
PORATH,CM,59,60 ,49 ,60 ,61 ,41 ,48 
FEKA,CDM,55,67 ,38 ,52 ,59 ,53 ,57 
PAPADOPOULOS,CB,83,67 ,50 ,56 ,55 ,83 ,86 
PAPADOPOULOS,CB,79,65 ,43 ,52 ,50 ,78 ,84 
SPAHIĆ,CB,79,53 ,40 ,56 ,46 ,80 ,74 
DJOUROU,CB,77,69 ,36 ,58 ,60 ,77 ,75 
REIS,CB,75,71 ,42 ,45 ,58 ,75 ,79 
SANTOS,LB,75,78 ,61 ,66 ,77 ,72 ,59 
MAVRAJ,CB,75,52 ,31 ,54 ,46 ,77 ,74 
SAKAI,RB,74,76 ,47 ,70 ,72 ,71 ,69 
DIEKMEIER,RB,74,86 ,40 ,66 ,66 ,70 ,74 
OSTRZOLEK,LB,74,75 ,46 ,64 ,72 ,72 ,70 
GÖTZ,RB,66,76 ,30 ,51 ,64 ,65 ,65 
RONSTADT,RB,58,66 ,29 ,41 ,53 ,58 ,56 
ADLER,GK,81,80 ,80 ,73 ,81 ,46 ,82 
MATHENIA,GK,74,74 ,69 ,66 ,77 ,47 ,75 
MICKEL,GK,65,65 ,62 ,65 ,66 ,44 ,62 
HIRZEL,GK,60,59 ,58 ,56 ,60 ,47 ,57 
