WERNER,ST,84,94 ,88 ,75 ,85 ,35 ,74 
WERNER,ST,82,92 ,83 ,71 ,82 ,32 ,70 
WERNER,ST,77,90 ,73 ,65 ,78 ,26 ,65 
WERNER,ST,75,90 ,70 ,64 ,78 ,24 ,62 
POULSEN,ST,73,88 ,65 ,60 ,74 ,34 ,77 
SELKE,ST,73,72 ,70 ,52 ,69 ,29 ,75 
DAMARI,ST,69,78 ,68 ,62 ,68 ,27 ,64 
BOYD,ST,67,52 ,69 ,44 ,54 ,29 ,74 
MARTÍNEZ,ST,60,72 ,59 ,55 ,66 ,31 ,42 
KEÏTA,CM,87,87 ,85 ,88 ,90 ,81 ,87 
KEÏTA,CM,86,86 ,81 ,87 ,89 ,78 ,85 
FORSBERG,LM,86,82 ,84 ,90 ,89 ,40 ,80 
FORSBERG,CAM,85,81 ,79 ,88 ,88 ,37 ,76 
KEÏTA,RM,84,84 ,78 ,83 ,87 ,74 ,81 
FORSBERG,LM,83,79 ,75 ,82 ,85 ,34 ,71 
KEÏTA,CDM,82,82 ,76 ,79 ,87 ,70 ,77 
FORSBERG,CAM,79,76 ,71 ,75 ,82 ,30 ,66 
KEÏTA,CM,78,80 ,69 ,71 ,82 ,62 ,70 
FORSBERG,LM,76,75 ,70 ,72 ,80 ,30 ,65 
SABITZER,CAM,76,87 ,73 ,69 ,76 ,32 ,74 
KEÏTA,CM,75,80 ,68 ,69 ,77 ,62 ,70 
SABITZER,CAM,74,87 ,72 ,67 ,76 ,28 ,70 
KAISER,RM,73,60 ,71 ,73 ,72 ,59 ,67 
DEMME,CDM,72,61 ,52 ,65 ,73 ,67 ,75 
ILSANKER,CDM,71,48 ,53 ,55 ,50 ,73 ,82 
KHEDIRA,CDM,69,60 ,43 ,57 ,57 ,68 ,76 
BURKE,RM,68,88 ,58 ,58 ,69 ,36 ,63 
KALMÁR,LM,67,66 ,59 ,67 ,70 ,43 ,55 
STRAUß,LM,59,67 ,50 ,56 ,60 ,51 ,54 
JANELT,CDM,57,57 ,45 ,53 ,53 ,50 ,65 
TOURÉ,CAM,56,66 ,41 ,55 ,57 ,50 ,68 
PAPADOPOULOS,CB,79,65 ,43 ,52 ,50 ,78 ,84 
ORBAN,CB,77,62 ,34 ,52 ,57 ,76 ,78 
HALSTENBERG,LB,74,78 ,70 ,73 ,75 ,73 ,80 
ORBAN,CB,74,62 ,34 ,50 ,56 ,73 ,76 
HALSTENBERG,LB,73,76 ,63 ,66 ,68 ,69 ,76 
COMPPER,CB,73,63 ,37 ,55 ,56 ,73 ,69 
KLOSTERMANN,RB,72,88 ,38 ,59 ,65 ,69 ,70 
BERNARDO,RB,70,73 ,44 ,57 ,65 ,69 ,72 
SCHMITZ,RB,68,71 ,50 ,62 ,63 ,66 ,68 
UPAMECANO,CB,63,70 ,32 ,51 ,55 ,61 ,68 
BERNARDO,CB,60,64 ,32 ,38 ,42 ,59 ,67 
GIPSON,RB,60,76 ,34 ,45 ,56 ,60 ,63 
FECHNER,CB,58,65 ,36 ,50 ,51 ,56 ,61 
UPAMECANO,CB,56,49 ,24 ,31 ,30 ,56 ,55 
REDDEMANN,CB,55,54 ,31 ,35 ,35 ,55 ,60 
GULÁCSI,GK,73,74 ,70 ,64 ,78 ,43 ,69 
COLTORTI,GK,72,68 ,72 ,68 ,74 ,40 ,72 
MÜLLER,GK,68,69 ,67 ,64 ,71 ,25 ,64 
BELLOT,GK,65,66 ,60 ,71 ,70 ,44 ,59 
