SCHIPPLOCK,ST,73,70 ,70 ,59 ,68 ,34 ,80 
OBINNA,ST,72,88 ,70 ,66 ,75 ,30 ,73 
BEZJAK,ST,71,72 ,71 ,55 ,69 ,24 ,58 
ROSENTHAL,CF,71,66 ,68 ,70 ,72 ,37 ,63 
STROH-ENGEL,ST,70,62 ,68 ,49 ,58 ,36 ,78 
ČOLAK,ST,68,67 ,66 ,46 ,66 ,28 ,69 
PLATTE,ST,67,66 ,64 ,50 ,62 ,24 ,67 
BOYD,ST,67,52 ,69 ,44 ,54 ,29 ,74 
SAM,RM,77,86 ,76 ,72 ,79 ,33 ,59 
HELLER,RM,75,93 ,70 ,63 ,77 ,28 ,65 
BEN-HATIRA,LM,75,78 ,71 ,70 ,77 ,24 ,72 
GONDORF,CM,75,70 ,66 ,73 ,75 ,68 ,81 
ALTINTOP,CDM,74,53 ,75 ,80 ,78 ,70 ,68 
NIEMEYER,CDM,73,34 ,39 ,55 ,44 ,79 ,80 
VRANČIĆ,CM,73,56 ,66 ,72 ,75 ,49 ,70 
OLIYNYK,LM,71,71 ,59 ,68 ,75 ,38 ,68 
ALTINTOP,CDM,71,51 ,71 ,75 ,71 ,64 ,60 
KLEINHEISLER,LM,69,73 ,59 ,67 ,70 ,58 ,67 
SIRIGU,RM,67,85 ,47 ,59 ,66 ,63 ,69 
FISCH,LM,57,60 ,46 ,55 ,61 ,41 ,42 
SULU,CB,78,71 ,45 ,45 ,59 ,78 ,80 
FEDETSKYI,RB,76,77 ,55 ,67 ,63 ,75 ,80 
FEDETSKYI,RB,74,75 ,55 ,66 ,63 ,74 ,79 
MILOŠEVIĆ,CB,73,57 ,57 ,57 ,57 ,72 ,76 
HOLLAND,LB,71,73 ,45 ,59 ,64 ,71 ,70 
JUNGWIRTH,RB,71,66 ,29 ,60 ,63 ,71 ,74 
HÖHN,CB,69,53 ,32 ,50 ,54 ,70 ,66 
GORKA,CB,68,34 ,43 ,43 ,35 ,68 ,71 
BANGGAARD,CB,68,62 ,38 ,50 ,43 ,69 ,71 
GUWARA,LB,61,69 ,34 ,50 ,59 ,58 ,66 
THUR,CB,56,43 ,31 ,39 ,40 ,59 ,46 
AYDOGAN,LB,55,53 ,34 ,51 ,52 ,55 ,54 
WOLFF,RB,55,53 ,32 ,48 ,46 ,55 ,46 
ESSER,GK,72,75 ,70 ,74 ,73 ,37 ,75 
ESSER,GK,69,70 ,65 ,68 ,68 ,32 ,69 
FERNANDES,GK,67,68 ,65 ,66 ,73 ,42 ,59 
BEREZOVSKYI,GK,65,68 ,63 ,59 ,65 ,25 ,62 
