KRUSE,ST,83,76 ,86 ,82 ,84 ,42 ,75 
KRUSE,CF,80,74 ,79 ,79 ,81 ,38 ,71 
PIZARRO,ST,79,46 ,80 ,71 ,76 ,31 ,69 
JÓHANNSSON,ST,74,75 ,75 ,63 ,72 ,27 ,59 
THY,ST,70,78 ,67 ,61 ,68 ,44 ,77 
EILERS,RW,69,85 ,72 ,60 ,68 ,32 ,67 
EGGESTEIN,ST,64,66 ,65 ,54 ,62 ,30 ,49 
LORENZEN,ST,64,86 ,65 ,53 ,66 ,33 ,64 
JUNUZOVIĆ,CM,82,80 ,80 ,85 ,83 ,73 ,80 
DELANEY,CM,81,75 ,80 ,78 ,80 ,78 ,85 
GNABRY,ST,81,90 ,80 ,74 ,85 ,48 ,72 
JUNUZOVIĆ,CM,79,77 ,72 ,81 ,80 ,69 ,74 
GNABRY,LM,77,88 ,74 ,69 ,81 ,43 ,66 
DELANEY,CM,76,73 ,69 ,73 ,73 ,73 ,81 
KAINZ,LM,75,86 ,64 ,70 ,77 ,31 ,57 
FRITZ,CM,75,60 ,63 ,74 ,74 ,75 ,73 
BARGFREDE,CDM,75,66 ,57 ,70 ,71 ,73 ,72 
BARTELS,RM,75,82 ,68 ,68 ,79 ,41 ,64 
GNABRY,LW,74,86 ,77 ,72 ,80 ,45 ,67 
DELANEY,CM,74,72 ,67 ,71 ,71 ,72 ,77 
GNABRY,RM,73,85 ,63 ,66 ,75 ,43 ,62 
YATABARÉ,RM,73,77 ,64 ,69 ,72 ,64 ,80 
GRILLITSCH,CM,72,68 ,56 ,72 ,73 ,46 ,59 
HAJROVIĆ,RM,72,75 ,73 ,71 ,77 ,42 ,59 
PETSOS,CDM,68,60 ,59 ,61 ,61 ,64 ,75 
EGGESTEIN,CAM,62,54 ,52 ,59 ,63 ,28 ,57 
SANÉ,CB,79,66 ,44 ,63 ,66 ,80 ,78 
SELASSIE,RB,76,77 ,50 ,68 ,76 ,73 ,71 
MOISANDER,CB,75,63 ,49 ,67 ,70 ,74 ,73 
DIAGNE,CB,75,70 ,42 ,60 ,68 ,75 ,72 
CALDIROLA,CB,75,64 ,41 ,64 ,63 ,74 ,74 
GARCÍA,LB,75,72 ,53 ,65 ,68 ,74 ,80 
BAUER,LB,69,68 ,50 ,62 ,63 ,69 ,75 
STERNBERG,LB,65,68 ,46 ,59 ,62 ,64 ,65 
GARCIA,LB,64,77 ,31 ,47 ,64 ,59 ,71 
VELJKOVIĆ,CB,63,55 ,28 ,44 ,45 ,64 ,65 
ZANDER,RB,61,68 ,38 ,50 ,56 ,61 ,61 
WIEDWALD,GK,81,82 ,75 ,72 ,84 ,40 ,80 
DROBNÝ,GK,77,76 ,79 ,50 ,76 ,36 ,80 
WIEDWALD,GK,76,77 ,69 ,67 ,79 ,34 ,74 
WOLF,GK,68,68 ,64 ,59 ,74 ,36 ,65 
ZETTERER,GK,63,62 ,65 ,58 ,64 ,39 ,60 
