GÓMEZ,ST,84,74 ,88 ,66 ,78 ,33 ,82 
GÓMEZ,ST,82,72 ,83 ,62 ,73 ,28 ,78 
MAYORAL,ST,72,75 ,72 ,56 ,66 ,18 ,53 
HENRIQUE,RW,72,85 ,70 ,60 ,74 ,28 ,54 
ZAWADA,ST,63,55 ,64 ,46 ,58 ,26 ,66 
STOLZE,ST,60,67 ,60 ,49 ,62 ,26 ,49 
DRAXLER,CAM,84,77 ,79 ,80 ,86 ,34 ,64 
GUSTAVO,CDM,84,67 ,59 ,70 ,71 ,83 ,87 
BŁASZCZYKOWSKI,RM,83,94 ,78 ,82 ,86 ,60 ,77 
GUSTAVO,CDM,83,67 ,59 ,70 ,71 ,83 ,82 
GUSTAVO,CDM,82,67 ,59 ,69 ,70 ,82 ,82 
VIEIRINHA,RM,81,80 ,74 ,77 ,85 ,65 ,66 
MALLI,CAM,80,77 ,72 ,77 ,82 ,37 ,59 
NTEP,LM,80,91 ,75 ,74 ,83 ,26 ,73 
DIDAVI,CAM,80,78 ,82 ,75 ,79 ,52 ,72 
MALLI,CAM,80,77 ,72 ,77 ,82 ,37 ,59 
GUILAVOGUI,CDM,80,70 ,59 ,66 ,68 ,82 ,81 
NTEP,LM,80,91 ,75 ,74 ,83 ,26 ,73 
ARNOLD,CM,79,67 ,80 ,74 ,78 ,65 ,67 
BŁASZCZYKOWSKI,RM,79,77 ,71 ,77 ,81 ,56 ,71 
CALIGIURI,LM,79,81 ,72 ,74 ,82 ,31 ,68 
MALLI,CAM,79,77 ,70 ,75 ,82 ,36 ,59 
BAZOER,CM,77,76 ,66 ,75 ,79 ,64 ,75 
GERHARDT,CM,77,69 ,69 ,74 ,75 ,68 ,74 
SEGUIN,CDM,68,55 ,50 ,60 ,62 ,68 ,70 
BREKALO,LM,65,77 ,60 ,58 ,71 ,22 ,48 
AZZAOUI,LM,61,73 ,54 ,54 ,67 ,23 ,43 
SEGUIN,CDM,60,53 ,43 ,56 ,58 ,58 ,66 
CONDÉ,CM,60,66 ,43 ,61 ,66 ,49 ,47 
DONKOR,LM,59,66 ,60 ,53 ,61 ,30 ,55 
RODRÍGUEZ,LB,84,74 ,67 ,81 ,78 ,80 ,80 
RODRÍGUEZ,LB,83,74 ,67 ,81 ,78 ,80 ,75 
BRUMA,CB,83,68 ,63 ,70 ,65 ,84 ,86 
BRUMA,CB,80,66 ,53 ,63 ,59 ,79 ,82 
TRÄSCH,RB,78,72 ,61 ,74 ,71 ,76 ,78 
WOLLSCHEID,CB,78,51 ,39 ,52 ,41 ,79 ,76 
JUNG,RB,77,77 ,51 ,73 ,74 ,74 ,71 
SCHÄFER,LB,76,66 ,67 ,76 ,72 ,74 ,73 
KNOCHE,CB,76,57 ,41 ,51 ,50 ,78 ,71 
ASCUES,CB,71,66 ,57 ,56 ,63 ,68 ,76 
SARR,CB,65,64 ,39 ,57 ,59 ,66 ,63 
HORN,LB,60,64 ,35 ,53 ,60 ,59 ,64 
ZIEGELE,CB,59,55 ,28 ,37 ,44 ,60 ,61 
BENAGLIO,GK,83,82 ,84 ,67 ,80 ,47 ,84 
BENAGLIO,GK,79,77 ,80 ,61 ,75 ,42 ,80 
CASTEELS,GK,78,80 ,69 ,74 ,82 ,44 ,75 
GRÜN,GK,68,70 ,66 ,64 ,67 ,51 ,68 
