CHEOL,CAM,78,74 ,76 ,74 ,81 ,56 ,66 
BOBADILLA,ST,78,73 ,78 ,70 ,76 ,37 ,86 
FINNBOGASON,ST,77,68 ,80 ,62 ,73 ,31 ,72 
KOHR,CDM,75,66 ,58 ,64 ,70 ,72 ,74 
WON,CAM,71,71 ,68 ,67 ,72 ,36 ,71 
SCHUSTER,CDM,58,57 ,44 ,55 ,57 ,56 ,53 
KURZ,ST,57,60 ,58 ,48 ,61 ,26 ,51 
BAIER,CDM,80,62 ,59 ,78 ,77 ,75 ,71 
USAMI,LM,77,78 ,73 ,74 ,80 ,30 ,49 
ALTINTOP,CAM,76,58 ,75 ,73 ,74 ,33 ,71 
SCHMID,LM,76,79 ,69 ,72 ,77 ,61 ,74 
CAIUBY,LM,75,84 ,70 ,69 ,74 ,32 ,78 
FEULNER,CM,74,58 ,70 ,75 ,71 ,66 ,71 
MORÁVEK,CM,72,58 ,69 ,73 ,74 ,54 ,62 
EKIN,LM,59,66 ,56 ,55 ,61 ,34 ,46 
REINTHALER,CM,54,53 ,47 ,53 ,54 ,51 ,61 
VERHAEGH,RB,78,74 ,51 ,70 ,72 ,78 ,72 
KAČAR,CB,76,46 ,65 ,67 ,65 ,73 ,76 
GOUWELEEUW,CB,76,72 ,55 ,61 ,62 ,77 ,74 
HINTEREGGER,CB,75,70 ,61 ,60 ,59 ,75 ,80 
OPARE,RB,74,89 ,62 ,63 ,74 ,69 ,75 
CALLSEN-BRACKER,CB,73,53 ,37 ,59 ,49 ,73 ,72 
STAFYLIDIS,LB,72,79 ,56 ,65 ,73 ,67 ,61 
MAX,LB,72,81 ,45 ,64 ,71 ,66 ,70 
JANKER,CB,70,56 ,34 ,48 ,51 ,69 ,71 
TEIGL,RB,69,90 ,58 ,59 ,68 ,61 ,71 
FRIEDRICH,CB,65,61 ,32 ,53 ,45 ,65 ,66 
RIEDER,CB,60,54 ,33 ,35 ,37 ,62 ,62 
FRAMBERGER,RB,58,57 ,37 ,46 ,49 ,59 ,56 
HITZ,GK,80,82 ,76 ,73 ,82 ,41 ,80 
LUTHE,GK,71,74 ,66 ,60 ,74 ,38 ,71 
GELIOS,GK,59,59 ,59 ,54 ,62 ,57 ,57 
