PHILIPP,CF,76,83 ,72 ,68 ,78 ,31 ,63 
PETERSEN,ST,76,62 ,75 ,57 ,67 ,34 ,69 
NIEDERLECHNER,ST,74,75 ,75 ,60 ,71 ,35 ,78 
PHILIPP,CF,74,83 ,66 ,69 ,77 ,30 ,63 
NIELSEN,ST,72,74 ,71 ,62 ,71 ,40 ,69 
GUÉDÉ,ST,66,59 ,65 ,55 ,56 ,57 ,86 
FALAHEN,ST,59,59 ,59 ,42 ,53 ,26 ,62 
GRIFO,LM,75,76 ,72 ,72 ,80 ,33 ,63 
FRANTZ,RM,73,70 ,66 ,71 ,71 ,61 ,79 
ABRASHI,CDM,72,71 ,60 ,60 ,67 ,70 ,79 
HÖFLER,CDM,71,58 ,48 ,64 ,67 ,70 ,71 
SCHUSTER,CDM,70,43 ,62 ,70 ,61 ,66 ,70 
MEFFERT,CDM,70,59 ,48 ,64 ,62 ,67 ,74 
DÆHLI,LM,70,75 ,53 ,68 ,76 ,22 ,44 
HABERER,CAM,70,68 ,67 ,63 ,71 ,30 ,63 
BULUT,RM,69,76 ,60 ,63 ,69 ,54 ,62 
HUFNAGEL,RM,66,73 ,55 ,62 ,69 ,50 ,59 
LAPREVOTTE,CM,61,66 ,55 ,59 ,62 ,54 ,54 
TORREJÓN,CB,74,51 ,33 ,54 ,55 ,75 ,76 
IGNJOVSKI,RB,74,74 ,50 ,67 ,69 ,73 ,71 
KEMPF,CB,73,67 ,38 ,55 ,59 ,72 ,74 
GÜNTER,LB,72,77 ,47 ,63 ,70 ,68 ,78 
GULDE,CB,71,69 ,40 ,55 ,58 ,71 ,69 
SÖYÜNCÜ,CB,69,66 ,43 ,54 ,58 ,67 ,73 
KÜBLER,RB,67,68 ,47 ,57 ,61 ,68 ,63 
STENZEL,RB,66,67 ,44 ,60 ,64 ,62 ,65 
FÖHRENBACH,CB,64,66 ,34 ,51 ,57 ,64 ,66 
SCHWOLOW,GK,74,79 ,77 ,76 ,82 ,40 ,74 
SCHWOLOW,GK,73,74 ,71 ,70 ,76 ,36 ,68 
GIKIEWICZ,GK,72,72 ,70 ,75 ,74 ,26 ,71 
SCHWOLOW,GK,70,70 ,66 ,65 ,72 ,36 ,67 
KLANDT,GK,69,69 ,68 ,64 ,70 ,44 ,67 
