DIAMANTI,CF,75,67 ,71 ,77 ,80 ,32 ,63 
NESTOROVSKI,ST,73,69 ,73 ,48 ,71 ,32 ,71 
TRAJKOVSKI,ST,69,70 ,69 ,68 ,71 ,24 ,57 
NESTOROVSKI,ST,67,66 ,65 ,44 ,66 ,26 ,66 
SILVA,ST,64,68 ,63 ,57 ,68 ,31 ,56 
BALOGH,ST,63,72 ,59 ,47 ,60 ,22 ,69 
HENRIQUE,CDM,75,69 ,65 ,70 ,68 ,73 ,79 
GAZZI,CDM,75,55 ,54 ,65 ,64 ,76 ,77 
QUAISON,CAM,74,81 ,62 ,72 ,76 ,55 ,67 
JAJALO,CM,73,62 ,61 ,72 ,72 ,67 ,74 
JAJALO,CM,73,62 ,61 ,72 ,72 ,67 ,74 
HILJEMARK,CM,73,73 ,60 ,68 ,71 ,64 ,76 
BOUY,CM,72,55 ,61 ,72 ,71 ,64 ,68 
CHOCHEV,CM,71,63 ,63 ,68 ,67 ,63 ,71 
RISPOLI,RM,70,77 ,56 ,64 ,70 ,65 ,75 
EMBALO,LM,70,85 ,60 ,61 ,74 ,16 ,61 
MORGANELLA,RM,68,76 ,47 ,65 ,69 ,70 ,75 
SALLAI,CAM,64,72 ,46 ,60 ,64 ,34 ,48 
BENTIVEGNA,RM,58,66 ,59 ,52 ,65 ,29 ,29 
GONZÁLEZ,CB,77,74 ,45 ,52 ,59 ,78 ,71 
ANĐELKOVIĆ,CB,75,66 ,41 ,45 ,51 ,76 ,72 
RAJKOVIĆ,CB,75,69 ,31 ,47 ,45 ,75 ,82 
VITIELLO,CB,73,66 ,47 ,53 ,56 ,75 ,62 
GOLDANIGA,CB,72,59 ,33 ,40 ,51 ,72 ,74 
ALEESAMI,LB,72,78 ,41 ,64 ,68 ,69 ,74 
ŠUNJIĆ,CB,72,57 ,34 ,45 ,43 ,72 ,77 
CIONEK,CB,71,69 ,26 ,41 ,52 ,71 ,77 
FULIGNATI,GK,58,58 ,51 ,60 ,64 ,49 ,57 
MARSON,GK,53,52 ,57 ,55 ,53 ,21 ,50 
