FLORES,ST,73,74 ,73 ,67 ,74 ,30 ,67 
DE LUCA,LW,71,87 ,68 ,62 ,75 ,18 ,58 
MANIERO,ST,71,64 ,70 ,52 ,64 ,21 ,74 
RAIČEVIĆ,ST,71,65 ,71 ,46 ,62 ,27 ,66 
FEDATO,LW,69,82 ,65 ,60 ,74 ,30 ,64 
PARIGINI,ST,68,82 ,65 ,52 ,74 ,19 ,58 
BOATENG,RW,67,89 ,60 ,57 ,68 ,27 ,67 
MONACHELLO,ST,67,55 ,67 ,47 ,65 ,24 ,62 
BRIENZA,CM,76,66 ,68 ,79 ,81 ,53 ,48 
MARTINHO,LM,74,91 ,64 ,69 ,74 ,56 ,68 
GRECO,CM,73,71 ,62 ,72 ,69 ,68 ,70 
BASHA,CM,72,67 ,60 ,69 ,69 ,66 ,73 
GALANO,CAM,72,90 ,66 ,67 ,75 ,16 ,73 
VALIANI,CM,70,64 ,65 ,68 ,71 ,50 ,75 
IVAN,CM,69,72 ,57 ,65 ,71 ,57 ,58 
FEDELE,CM,68,67 ,57 ,69 ,64 ,58 ,68 
DAPRELÀ,LM,68,77 ,53 ,62 ,69 ,64 ,77 
ROMIZI,CM,67,74 ,58 ,62 ,64 ,58 ,73 
SALZANO,CM,66,57 ,53 ,64 ,62 ,54 ,67 
FURLAN,CAM,65,71 ,53 ,61 ,68 ,20 ,61 
MORAS,CB,75,54 ,21 ,50 ,43 ,79 ,69 
CASSANI,CB,73,74 ,57 ,67 ,68 ,72 ,70 
DI CESARE,CB,73,52 ,47 ,31 ,54 ,73 ,76 
SUAGHER,CB,71,59 ,32 ,36 ,45 ,73 ,74 
MORLEO,LB,71,75 ,54 ,67 ,69 ,68 ,64 
TONUCCI,CB,69,49 ,36 ,37 ,46 ,69 ,78 
SABELLI,RB,68,77 ,39 ,53 ,62 ,66 ,72 
CAPRADOSSI,CB,61,59 ,21 ,27 ,35 ,63 ,65 
ICHAZO,GK,71,73 ,68 ,67 ,74 ,45 ,68 
MICAI,GK,67,69 ,69 ,62 ,69 ,48 ,68 
OFFREDI,GK,63,63 ,61 ,51 ,64 ,54 ,64 
GORI,GK,61,64 ,60 ,55 ,64 ,44 ,55 
