CAPUTO,ST,74,87 ,80 ,60 ,76 ,30 ,80 
CAPUTO,ST,71,82 ,69 ,47 ,67 ,19 ,70 
CATELLANI,CF,70,78 ,71 ,69 ,73 ,19 ,59 
CUTOLO,RW,69,78 ,64 ,64 ,74 ,18 ,53 
BERETTA,ST,65,67 ,63 ,53 ,61 ,21 ,68 
MASUCCI,ST,64,65 ,70 ,65 ,70 ,27 ,55 
MASUCCI,ST,60,63 ,55 ,58 ,64 ,22 ,50 
BARAYE,ST,52,68 ,54 ,38 ,48 ,21 ,53 
TROIANO,CM,65,62 ,51 ,62 ,55 ,59 ,79 
FERREIRA,CAM,64,76 ,56 ,58 ,65 ,20 ,62 
TREMOLADA,CAM,64,75 ,60 ,70 ,71 ,30 ,60 
ARDIZZONE,CM,64,69 ,53 ,61 ,64 ,53 ,62 
TREMOLADA,CAM,64,74 ,53 ,63 ,67 ,26 ,57 
JADID,CM,64,66 ,58 ,66 ,63 ,45 ,59 
AMMARI,CM,63,68 ,56 ,64 ,70 ,40 ,54 
PALERMO,CM,61,71 ,54 ,62 ,62 ,40 ,51 
GERLI,CM,56,64 ,46 ,55 ,60 ,38 ,47 
BENEDETTI,CB,70,66 ,34 ,38 ,41 ,69 ,77 
PELLIZZER,CB,68,75 ,30 ,33 ,43 ,68 ,72 
CECCARELLI,CB,68,65 ,32 ,41 ,42 ,68 ,74 
KEITA,LB,66,69 ,31 ,50 ,60 ,63 ,51 
IACOPONI,RB,65,79 ,32 ,40 ,51 ,63 ,68 
SINI,LB,63,59 ,34 ,49 ,49 ,68 ,68 
PECORINI,RB,63,71 ,39 ,54 ,55 ,59 ,69 
MOSCATI,RB,62,72 ,47 ,60 ,62 ,55 ,68 
BELLI,RB,61,74 ,23 ,36 ,48 ,62 ,59 
IACOBUCCI,GK,68,67 ,71 ,65 ,65 ,44 ,66 
PARONI,GK,59,59 ,57 ,47 ,62 ,34 ,57 
