NENÊ,ST,73,66 ,71 ,58 ,69 ,28 ,75 
GIANNETTI,ST,70,83 ,65 ,59 ,70 ,22 ,63 
PICCOLO,RW,68,79 ,63 ,61 ,70 ,19 ,61 
PIU,ST,67,63 ,66 ,57 ,72 ,22 ,54 
BÁEZ,ST,63,55 ,64 ,49 ,64 ,20 ,52 
ERRASTI,CDM,74,65 ,40 ,64 ,55 ,72 ,78 
FABBRINI,CAM,72,76 ,63 ,69 ,77 ,28 ,54 
SCIAUDONE,CM,69,79 ,60 ,66 ,69 ,52 ,73 
SIGNORELLI,CM,69,67 ,54 ,68 ,66 ,60 ,69 
PULZETTI,CM,68,70 ,57 ,65 ,68 ,60 ,71 
DEIOLA,CM,62,70 ,62 ,58 ,56 ,56 ,73 
TERZI,CB,73,60 ,41 ,45 ,51 ,74 ,73 
DE COL,RB,68,73 ,30 ,52 ,63 ,64 ,73 
MIGLIORE,LB,67,73 ,36 ,60 ,65 ,63 ,76 
DATKOVIĆ,CB,67,55 ,18 ,36 ,34 ,67 ,74 
TAMÁS,LB,61,74 ,42 ,40 ,54 ,60 ,61 
GALLI,RB,61,65 ,31 ,50 ,52 ,62 ,49 
CHICHIZOLA,GK,70,70 ,73 ,62 ,69 ,49 ,69 
VALENTINI,GK,64,64 ,64 ,50 ,64 ,44 ,66 
