ROSINA,RW,73,77 ,66 ,72 ,77 ,24 ,46 
SILVA,ST,69,67 ,67 ,37 ,65 ,20 ,74 
DONNARUMMA,ST,69,79 ,69 ,55 ,67 ,31 ,59 
CODA,ST,69,64 ,68 ,45 ,66 ,24 ,57 
IMPROTA,RW,66,78 ,53 ,56 ,70 ,17 ,53 
CACCAVALLO,LW,62,73 ,58 ,55 ,65 ,32 ,50 
ROCCA,CM,70,67 ,62 ,68 ,69 ,55 ,67 
MINALA,CM,68,65 ,60 ,63 ,68 ,56 ,74 
ODJER,CM,66,75 ,56 ,52 ,69 ,61 ,71 
ZITO,CM,66,81 ,55 ,65 ,70 ,50 ,77 
RONALDO,CM,65,65 ,53 ,66 ,63 ,57 ,61 
BUSELLATO,CDM,63,76 ,52 ,64 ,68 ,50 ,71 
BITTANTE,RB,70,74 ,44 ,63 ,67 ,66 ,65 
BERNARDINI,CB,70,66 ,35 ,45 ,43 ,71 ,72 
VITALE,LB,68,76 ,62 ,66 ,67 ,62 ,68 
LAVERONE,RB,67,84 ,50 ,67 ,66 ,57 ,74 
SCHIAVI,CB,66,50 ,33 ,40 ,39 ,65 ,70 
FRANCO,LB,61,55 ,36 ,51 ,61 ,55 ,64 
GOMIS,GK,72,75 ,71 ,64 ,73 ,43 ,73 
TERRACCIANO,GK,65,64 ,61 ,50 ,67 ,40 ,65 
