ACQUAFRESCA,ST,70,68 ,67 ,53 ,66 ,19 ,61 
AVENATTI,ST,69,62 ,65 ,44 ,60 ,19 ,76 
MONACHELLO,ST,67,55 ,67 ,47 ,65 ,24 ,62 
SURRACO,LW,66,73 ,56 ,62 ,72 ,20 ,68 
PETTINARI,ST,61,72 ,60 ,54 ,60 ,24 ,66 
DUGANDŽIĆ,ST,59,62 ,58 ,41 ,56 ,22 ,59 
LA GUMINA,ST,59,54 ,59 ,48 ,58 ,23 ,41 
LEDESMA,CDM,77,54 ,66 ,82 ,76 ,65 ,69 
BAČINOVIČ,CM,71,68 ,56 ,71 ,72 ,61 ,68 
FALLETTI,CAM,68,88 ,56 ,60 ,73 ,17 ,61 
DEFENDI,CM,66,79 ,57 ,64 ,68 ,56 ,67 
COPPOLA,CM,66,73 ,49 ,61 ,66 ,66 ,80 
PALUMBO,CM,62,71 ,46 ,62 ,64 ,48 ,69 
ROSSI,LB,69,77 ,40 ,59 ,62 ,63 ,62 
MECCARIELLO,CB,68,69 ,18 ,30 ,38 ,68 ,76 
MASI,CB,68,72 ,17 ,30 ,46 ,68 ,74 
ZANON,RB,68,70 ,42 ,59 ,61 ,62 ,63 
VALJENT,CB,65,66 ,36 ,52 ,64 ,64 ,70 
DI NOIA,LB,62,70 ,40 ,58 ,57 ,56 ,63 
DI GENNARO,GK,70,71 ,67 ,59 ,74 ,40 ,67 
ARESTI,GK,67,66 ,65 ,61 ,65 ,35 ,69 
GAVA,GK,58,63 ,54 ,54 ,58 ,49 ,55 
PIACENTI,GK,55,61 ,52 ,52 ,56 ,44 ,48 
