BIANCHI,ST,74,59 ,76 ,55 ,63 ,32 ,73 
EBAGUA,ST,71,78 ,68 ,48 ,66 ,23 ,80 
ARAMU,RW,67,76 ,58 ,65 ,73 ,35 ,57 
COMI,ST,66,66 ,64 ,50 ,59 ,21 ,73 
MALONGA,ST,66,66 ,65 ,55 ,62 ,36 ,64 
VAJUSHI,RW,63,75 ,49 ,58 ,72 ,22 ,39 
BALDINI,LW,62,70 ,57 ,53 ,68 ,25 ,46 
VIVES,CDM,75,60 ,58 ,73 ,69 ,69 ,68 
CASTIGLIA,CM,66,60 ,53 ,66 ,64 ,56 ,73 
MUSTACCHIO,RM,66,84 ,62 ,59 ,67 ,34 ,60 
ARDIZZONE,CM,64,69 ,53 ,61 ,64 ,53 ,62 
EMMANUELLO,CM,64,62 ,44 ,58 ,64 ,41 ,62 
ALTOBELLI,CM,63,60 ,48 ,61 ,59 ,60 ,68 
PALAZZI,CDM,60,42 ,46 ,56 ,58 ,58 ,62 
MAMMARELLA,LB,71,76 ,51 ,72 ,64 ,66 ,68 
BUDEL,CB,68,40 ,57 ,64 ,63 ,68 ,67 
GERMANO,RB,65,74 ,48 ,53 ,59 ,59 ,62 
MUSSMANN,CB,65,76 ,35 ,48 ,52 ,63 ,72 
BANI,CB,61,60 ,15 ,26 ,44 ,59 ,72 
LUPERTO,LB,60,42 ,36 ,46 ,52 ,63 ,58 
PROVEDEL,GK,63,64 ,60 ,61 ,64 ,44 ,63 
ZACCAGNO,GK,62,65 ,62 ,48 ,70 ,17 ,65 
