ORLANDO,ST,69,69 ,66 ,52 ,70 ,25 ,64 
HARBOTTLE,LW,68,80 ,60 ,64 ,74 ,24 ,52 
GONZÁLEZ,LW,64,76 ,63 ,55 ,68 ,20 ,42 
DROGUETT,CAM,72,76 ,68 ,69 ,72 ,39 ,59 
VILLAGRA,CM,68,52 ,52 ,69 ,63 ,61 ,68 
CARVALLO,CAM,65,71 ,56 ,59 ,70 ,26 ,48 
ROJAS,CDM,63,60 ,36 ,50 ,62 ,62 ,70 
CABRERA,CM,62,68 ,46 ,59 ,64 ,63 ,67 
JEREZ,LM,59,72 ,37 ,57 ,60 ,64 ,52 
MUÑOZ,CB,68,33 ,32 ,36 ,42 ,70 ,72 
BARRIOS,RB,68,74 ,58 ,61 ,66 ,67 ,70 
AMPUERO,CB,66,63 ,24 ,43 ,42 ,66 ,71 
CORDERO,CB,57,62 ,38 ,48 ,51 ,57 ,54 
DITURO,GK,70,64 ,72 ,77 ,68 ,32 ,71 
GARCÍA,GK,65,68 ,63 ,59 ,65 ,49 ,61 
HURTADO,GK,63,63 ,65 ,62 ,63 ,46 ,60 
