LEZCANO,LW,76,86 ,75 ,66 ,79 ,25 ,70 
CALANDRIA,ST,69,50 ,74 ,59 ,65 ,39 ,69 
MUÑOZ,RW,68,87 ,57 ,58 ,72 ,19 ,68 
INSAURRALDE,LW,67,77 ,68 ,57 ,69 ,33 ,63 
BULOS,ST,67,66 ,66 ,47 ,60 ,27 ,73 
MÁRQUEZ,CDM,70,65 ,44 ,59 ,62 ,69 ,74 
MEDEL,CM,69,69 ,68 ,73 ,70 ,48 ,63 
SOSA,CAM,68,71 ,60 ,65 ,70 ,32 ,64 
FUENTES,CM,66,75 ,56 ,61 ,66 ,60 ,70 
ÁVILA,CM,57,67 ,45 ,51 ,61 ,52 ,64 
ZÚÑIGA,CM,56,67 ,42 ,57 ,56 ,53 ,63 
ACEVEDO,CB,72,43 ,31 ,39 ,41 ,73 ,74 
OPAZO,RB,70,68 ,59 ,61 ,66 ,67 ,72 
OSORIO,CB,69,73 ,26 ,38 ,56 ,69 ,73 
SAN JUAN,CB,67,79 ,32 ,49 ,57 ,66 ,66 
BARRIGA,LB,67,74 ,63 ,67 ,68 ,59 ,68 
FONTANINI,CB,67,45 ,36 ,45 ,51 ,66 ,72 
GONZÁLEZ,RB,66,65 ,41 ,56 ,62 ,64 ,67 
TORREALBA,RB,63,74 ,26 ,49 ,55 ,62 ,70 
BRAVO,LB,62,78 ,38 ,43 ,50 ,61 ,66 
PINTO,GK,69,73 ,65 ,68 ,69 ,59 ,64 
FIGUEROA,GK,56,59 ,52 ,62 ,56 ,48 ,52 
