BENEGAS,ST,73,77 ,78 ,55 ,65 ,35 ,76 
BENEGAS,ST,70,75 ,72 ,48 ,61 ,30 ,72 
VIDANGOSSY,LW,69,77 ,61 ,64 ,74 ,27 ,65 
PAREDES,ST,56,68 ,55 ,37 ,57 ,19 ,46 
VALENCIA,CAM,72,82 ,67 ,69 ,70 ,28 ,55 
FARÍAS,CDM,71,57 ,52 ,60 ,62 ,69 ,77 
SILVA,CAM,67,74 ,63 ,62 ,67 ,50 ,68 
CARMONA,CAM,66,66 ,64 ,60 ,66 ,42 ,55 
CISTERNAS,CM,64,53 ,56 ,66 ,70 ,50 ,48 
ROSENDE,CM,63,50 ,47 ,58 ,58 ,59 ,64 
LUNA,CB,73,54 ,36 ,49 ,47 ,74 ,77 
VIDAL,CB,70,67 ,34 ,58 ,58 ,70 ,72 
CERECEDA,LB,68,73 ,51 ,64 ,67 ,65 ,63 
TORRES,LB,66,68 ,50 ,61 ,67 ,66 ,63 
CARVAJAL,RB,65,81 ,51 ,65 ,67 ,55 ,59 
SAAVEDRA,LB,62,69 ,35 ,50 ,61 ,61 ,62 
MELO,GK,66,63 ,68 ,60 ,70 ,49 ,60 
