PAREDES,ST,81,70 ,82 ,78 ,80 ,35 ,78 
PAREDES,ST,75,68 ,75 ,68 ,73 ,30 ,73 
RODRÍGUEZ,RW,72,90 ,67 ,63 ,74 ,49 ,65 
RIVERO,ST,71,71 ,70 ,46 ,67 ,25 ,76 
TONSO,RW,70,86 ,64 ,66 ,74 ,36 ,61 
VILCHES,ST,69,69 ,67 ,42 ,69 ,21 ,65 
RÍOS,RW,69,70 ,68 ,70 ,67 ,46 ,65 
FIGUEROA,RW,67,76 ,60 ,68 ,68 ,57 ,72 
VALDÉS,CM,82,72 ,77 ,83 ,82 ,50 ,67 
VALDÉS,CM,78,70 ,71 ,79 ,77 ,44 ,61 
MORALES,CAM,76,69 ,74 ,77 ,76 ,58 ,66 
GONZÁLEZ,LM,73,83 ,74 ,69 ,74 ,32 ,64 
PAVEZ,CM,73,77 ,67 ,67 ,72 ,70 ,80 
BAEZA,CM,72,72 ,66 ,69 ,71 ,69 ,70 
FERNÁNDEZ,CAM,72,73 ,66 ,72 ,73 ,55 ,68 
BOLADOS,CM,71,82 ,67 ,67 ,75 ,57 ,68 
CARVALLO,CAM,65,71 ,56 ,59 ,70 ,26 ,48 
SUAZO,CM,61,71 ,51 ,58 ,66 ,52 ,67 
CONTRERAS,CM,60,63 ,53 ,53 ,63 ,55 ,72 
BARROSO,CB,76,72 ,51 ,58 ,55 ,77 ,74 
CAMPOS,RB,71,77 ,45 ,65 ,63 ,68 ,73 
HUERTA,CB,70,48 ,23 ,39 ,33 ,71 ,77 
MEZA,CB,70,64 ,32 ,52 ,63 ,71 ,68 
VÉJAR,LB,69,82 ,54 ,61 ,68 ,63 ,64 
GUTIÉRREZ,LB,66,73 ,47 ,61 ,65 ,63 ,67 
PAVEZ,LB,64,76 ,51 ,59 ,64 ,59 ,62 
VILLAR,GK,76,75 ,74 ,74 ,77 ,31 ,79 
GARCÉS,GK,72,72 ,72 ,75 ,69 ,34 ,71 
SALAZAR,GK,63,64 ,60 ,59 ,64 ,45 ,59 
