ESCOBAR,ST,66,65 ,64 ,49 ,60 ,25 ,72 
MARTÍNEZ,ST,64,70 ,63 ,51 ,62 ,18 ,59 
ABÁN,ST,63,70 ,61 ,59 ,67 ,31 ,59 
FIORINA,ST,63,43 ,61 ,46 ,53 ,33 ,74 
GRONDONA,ST,63,69 ,63 ,45 ,58 ,20 ,66 
LEAL,CM,71,55 ,65 ,72 ,72 ,70 ,58 
FUENTES,CAM,71,68 ,61 ,70 ,72 ,56 ,63 
SAGREDO,LM,69,84 ,60 ,66 ,69 ,34 ,54 
SEPÚLVEDA,CDM,65,48 ,44 ,54 ,46 ,66 ,71 
RIVAS,CM,64,71 ,56 ,60 ,65 ,50 ,61 
SILVA,CB,68,50 ,24 ,39 ,37 ,68 ,73 
VIVEROS,CB,64,64 ,26 ,41 ,36 ,60 ,76 
SANTANDER,LB,61,76 ,49 ,59 ,64 ,58 ,60 
BRAVO,LB,55,69 ,31 ,41 ,52 ,51 ,58 
