CASTILLO,ST,81,67 ,83 ,66 ,77 ,38 ,82 
CASTILLO,ST,75,65 ,76 ,58 ,69 ,34 ,76 
FUENZALIDA,RW,74,83 ,62 ,71 ,78 ,64 ,73 
SILVA,ST,72,54 ,74 ,61 ,65 ,40 ,70 
NOIR,LW,72,92 ,64 ,67 ,72 ,34 ,65 
GUTIÉRREZ,ST,71,70 ,70 ,52 ,65 ,29 ,73 
LLANOS,ST,71,82 ,69 ,59 ,67 ,25 ,65 
BRAVO,RW,68,85 ,65 ,57 ,73 ,23 ,59 
MUÑOZ,LW,68,78 ,65 ,57 ,73 ,41 ,69 
JAIME,ST,66,72 ,67 ,60 ,62 ,46 ,66 
BUONANOTTE,CAM,82,80 ,77 ,85 ,86 ,28 ,56 
BUONANOTTE,CAM,78,78 ,68 ,78 ,82 ,24 ,43 
BUONANOTTE,CAM,76,78 ,66 ,75 ,82 ,24 ,42 
CARREÑO,CM,71,74 ,60 ,71 ,72 ,64 ,69 
KALINSKI,CM,70,70 ,45 ,68 ,68 ,68 ,76 
FUENTES,CDM,70,71 ,56 ,61 ,55 ,69 ,78 
ESPINOSA,CAM,69,65 ,57 ,69 ,69 ,36 ,47 
MIROŠEVIĆ,CM,68,52 ,63 ,67 ,62 ,47 ,66 
MANZANO,CM,63,68 ,51 ,62 ,58 ,63 ,64 
MARIPÁN,CB,73,54 ,33 ,48 ,46 ,71 ,78 
CORDERO,LB,71,77 ,56 ,68 ,68 ,64 ,65 
MAGNASCO,RB,70,78 ,38 ,60 ,66 ,66 ,75 
LANARO,CB,70,53 ,34 ,50 ,47 ,68 ,79 
PAROT,LB,69,66 ,46 ,60 ,65 ,70 ,78 
ÁLVAREZ,CB,69,52 ,46 ,51 ,54 ,68 ,63 
KUSCEVIC,CB,67,69 ,41 ,53 ,55 ,65 ,70 
ESPINOZA,RB,67,71 ,51 ,60 ,65 ,63 ,68 
TOSELLI,GK,74,75 ,70 ,69 ,77 ,49 ,75 
COSTANZO,GK,65,64 ,58 ,62 ,67 ,31 ,65 
