MORA,ST,74,83 ,82 ,60 ,74 ,25 ,68 
MORA,ST,72,81 ,72 ,51 ,68 ,19 ,61 
MATURANA,RW,71,81 ,60 ,66 ,76 ,44 ,51 
BENEGAS,ST,70,75 ,72 ,48 ,61 ,30 ,72 
UBILLA,RW,70,84 ,71 ,61 ,74 ,24 ,56 
ZACARÍA,LW,68,80 ,64 ,66 ,68 ,56 ,64 
MIRANDA,ST,61,82 ,60 ,39 ,60 ,21 ,47 
FERNÁNDEZ,CAM,73,74 ,70 ,70 ,74 ,35 ,58 
ESPINOZA,CM,72,64 ,62 ,72 ,72 ,63 ,79 
MARTÍNEZ,CDM,72,68 ,44 ,64 ,66 ,69 ,70 
REYES,CDM,72,69 ,54 ,64 ,66 ,70 ,73 
SCHULTZ,RM,72,77 ,55 ,69 ,70 ,59 ,69 
LORENZETTI,CAM,71,78 ,63 ,72 ,72 ,50 ,56 
ONTIVERO,RM,67,77 ,64 ,62 ,72 ,35 ,48 
CARMONA,CAM,66,66 ,64 ,60 ,66 ,42 ,55 
UREÑA,CM,65,61 ,52 ,57 ,68 ,62 ,68 
BEAUSEJOUR,LB,76,82 ,66 ,72 ,76 ,72 ,81 
JARA,CB,75,68 ,47 ,64 ,67 ,74 ,75 
RODRÍGUEZ,RB,73,81 ,63 ,64 ,70 ,70 ,71 
VILCHES,CB,73,52 ,40 ,50 ,65 ,72 ,75 
MONZÓN,LB,71,76 ,54 ,64 ,67 ,66 ,76 
CONTRERAS,CB,70,57 ,43 ,54 ,51 ,69 ,71 
RAMÍREZ,CB,61,65 ,32 ,43 ,51 ,59 ,65 
HERRERA,GK,75,70 ,77 ,77 ,75 ,57 ,73 
ESPINOZA,GK,62,61 ,59 ,58 ,64 ,49 ,62 
