BUSIN,RW,64,76 ,58 ,57 ,67 ,33 ,43 
THIAM,RW,61,74 ,59 ,48 ,66 ,50 ,69 
AJORQUE,ST,61,55 ,63 ,40 ,50 ,25 ,66 
LOPY,CDM,70,68 ,43 ,61 ,61 ,68 ,70 
DUGIMONT,CAM,69,69 ,74 ,66 ,68 ,34 ,71 
GUERBERT,CAM,69,74 ,59 ,69 ,69 ,50 ,69 
EKOBO,CDM,66,50 ,48 ,60 ,54 ,65 ,78 
GENEST,CAM,65,79 ,65 ,61 ,65 ,24 ,56 
ESPINOSA,CM,63,74 ,55 ,60 ,68 ,54 ,74 
JOBELLO,CAM,61,66 ,63 ,54 ,66 ,26 ,54 
DIOGO,CDM,58,68 ,46 ,60 ,54 ,50 ,61 
MARTIN,CB,70,59 ,35 ,55 ,59 ,70 ,73 
AVINEL,CB,67,72 ,46 ,48 ,42 ,64 ,80 
DJELLABI,LB,67,69 ,47 ,58 ,60 ,62 ,73 
RIVIEYRAN,RB,67,74 ,43 ,56 ,61 ,64 ,68 
FONTAINE,CB,65,77 ,24 ,52 ,37 ,61 ,71 
SALZE,CB,65,33 ,26 ,44 ,34 ,65 ,72 
AGOUNON,RB,64,72 ,48 ,60 ,64 ,64 ,66 
LAPORTE,CB,63,72 ,26 ,28 ,38 ,64 ,72 
CENTONZE,LB,63,69 ,61 ,59 ,65 ,59 ,69 
JEANNIN,GK,66,67 ,61 ,61 ,71 ,49 ,66 
L'HOSTIS,GK,65,62 ,60 ,77 ,67 ,42 ,63 
CAILLARD,GK,63,63 ,59 ,57 ,65 ,48 ,58 
