CISSÉ,ST,73,76 ,72 ,68 ,70 ,37 ,66 
TSHIBUMBU,ST,68,78 ,65 ,58 ,69 ,25 ,66 
MAAH,ST,68,85 ,67 ,53 ,67 ,42 ,63 
LARBI,CAM,73,70 ,66 ,70 ,73 ,56 ,71 
YOUGA,CDM,69,60 ,47 ,58 ,58 ,68 ,78 
LE MOIGNE,CDM,69,41 ,60 ,69 ,63 ,59 ,80 
BENRAHMA,RM,68,75 ,68 ,64 ,72 ,32 ,48 
COURT,LM,68,74 ,59 ,69 ,68 ,40 ,63 
POGGI,RM,68,75 ,59 ,66 ,68 ,60 ,71 
DUCOURTIOUX,CM,67,60 ,57 ,68 ,60 ,68 ,63 
KEMEN,CM,66,74 ,57 ,63 ,69 ,64 ,78 
MULUMBA,CDM,66,62 ,58 ,66 ,63 ,60 ,67 
BOUJEDRA,CAM,65,72 ,58 ,65 ,67 ,39 ,52 
CLERC,RB,72,63 ,51 ,70 ,67 ,74 ,72 
BRÉCHET,CB,70,21 ,47 ,62 ,50 ,71 ,68 
HOUNTONDJI,CB,69,57 ,33 ,51 ,48 ,70 ,72 
MOMBRIS,LB,67,75 ,27 ,51 ,60 ,65 ,64 
DIEDHIOU,CB,65,74 ,26 ,36 ,37 ,65 ,72 
MONAGHAN,RB,64,65 ,27 ,45 ,59 ,63 ,66 
ELANA,GK,74,75 ,73 ,67 ,72 ,36 ,74 
MAURY,GK,71,72 ,71 ,74 ,73 ,38 ,70 
