BOUAZZA,RW,70,74 ,70 ,69 ,72 ,39 ,64 
NGAMUKOL,ST,67,92 ,64 ,50 ,67 ,30 ,57 
BARADJI,ST,66,70 ,66 ,40 ,61 ,27 ,79 
KEITA,ST,66,69 ,64 ,51 ,69 ,30 ,64 
SANÉ,ST,63,66 ,64 ,58 ,64 ,21 ,52 
CHAVALERIN,CM,68,71 ,62 ,71 ,65 ,45 ,54 
MAKHEDJOUF,CM,67,64 ,60 ,66 ,67 ,55 ,75 
DIAZ,RM,65,75 ,60 ,61 ,67 ,33 ,48 
LEFEBVRE,CM,61,67 ,52 ,57 ,62 ,55 ,53 
RAHERIHARIMANANA,CDM,60,52 ,43 ,59 ,62 ,57 ,50 
MEXIQUE,CDM,59,68 ,45 ,55 ,54 ,57 ,60 
PALUN,RB,70,73 ,54 ,62 ,65 ,68 ,71 
HERGAULT,LB,68,66 ,44 ,67 ,67 ,63 ,69 
ZUBAR,CB,68,60 ,47 ,56 ,62 ,65 ,75 
CROS,CB,67,57 ,34 ,53 ,48 ,67 ,68 
SARR,CB,67,47 ,32 ,52 ,49 ,64 ,74 
CASTELLETTO,CB,67,79 ,30 ,60 ,56 ,66 ,71 
SOARES,LB,65,72 ,52 ,53 ,57 ,62 ,65 
MENDY,CB,64,69 ,31 ,39 ,45 ,61 ,69 
AMIEUX,LB,64,70 ,49 ,58 ,59 ,61 ,70 
KEITA,LB,63,85 ,56 ,50 ,71 ,56 ,63 
CROS,GK,68,68 ,66 ,66 ,72 ,38 ,66 
BALIJON,GK,67,66 ,66 ,68 ,67 ,34 ,69 
LEMBET,GK,60,63 ,57 ,61 ,68 ,39 ,52 
