ADNANE,ST,72,70 ,71 ,62 ,72 ,26 ,71 
MAUPAY,ST,69,81 ,65 ,62 ,73 ,33 ,54 
JOSEPH-MONROSE,ST,68,84 ,65 ,61 ,70 ,36 ,60 
DIALLO,ST,63,67 ,65 ,46 ,64 ,21 ,59 
LAVIGNE,RM,70,77 ,70 ,65 ,73 ,40 ,58 
GROUGI,CAM,69,68 ,67 ,71 ,67 ,48 ,58 
BATTOCCHIO,CM,69,74 ,63 ,67 ,73 ,57 ,59 
TIÉ BI,CDM,69,74 ,46 ,62 ,51 ,63 ,73 
GASTIEN,CM,68,66 ,65 ,65 ,70 ,59 ,77 
PELÉ,RM,67,77 ,54 ,64 ,70 ,36 ,45 
PEREZ,CM,66,76 ,52 ,63 ,68 ,52 ,64 
DOUMBIA,CDM,62,67 ,38 ,57 ,65 ,59 ,62 
JACOB,CDM,60,56 ,42 ,49 ,54 ,59 ,68 
SISSOKO,CDM,56,61 ,37 ,49 ,53 ,54 ,67 
BELAUD,RB,70,74 ,48 ,63 ,64 ,65 ,72 
NGANIONI,LB,69,78 ,45 ,61 ,70 ,61 ,73 
FAUSSURIER,RB,69,66 ,50 ,68 ,60 ,64 ,75 
BERNARD,LB,69,64 ,56 ,64 ,60 ,68 ,70 
COEFF,RB,69,60 ,50 ,62 ,62 ,71 ,69 
DIALLO,CB,68,50 ,40 ,49 ,48 ,66 ,81 
CHARDONNET,CB,65,73 ,33 ,46 ,51 ,65 ,68 
KEITA,LB,62,64 ,33 ,58 ,62 ,60 ,62 
HARTOCK,GK,69,70 ,66 ,66 ,68 ,55 ,69 
LÉON,GK,66,67 ,60 ,65 ,70 ,50 ,64 
