DEMBÉLÉ,ST,67,85 ,65 ,55 ,66 ,16 ,53 
MALONGA,LW,67,86 ,64 ,59 ,66 ,22 ,64 
KONÉ,ST,66,64 ,64 ,55 ,65 ,24 ,71 
ZEOULA,RW,66,81 ,63 ,62 ,68 ,38 ,52 
NSIKULU,ST,65,81 ,60 ,58 ,69 ,26 ,57 
N'DIAYE,LW,64,81 ,60 ,46 ,70 ,25 ,43 
VIALE,ST,64,56 ,66 ,55 ,60 ,25 ,64 
ETINOF,RW,57,74 ,54 ,53 ,61 ,30 ,43 
COUTADEUR,CDM,69,63 ,67 ,72 ,73 ,58 ,71 
NKOLOLO,CAM,67,81 ,65 ,59 ,68 ,25 ,47 
ALLA,CM,67,52 ,62 ,68 ,64 ,57 ,68 
MONFRAY,CDM,66,69 ,50 ,54 ,49 ,65 ,76 
DEMBÉLÉ,CDM,58,69 ,36 ,52 ,55 ,56 ,66 
APPINDANGOYE,CB,68,62 ,45 ,56 ,52 ,68 ,69 
QUINTIN,LB,68,67 ,51 ,63 ,61 ,63 ,66 
GLOMBARD,RB,67,69 ,47 ,65 ,64 ,65 ,72 
PERROT,LB,64,67 ,36 ,56 ,56 ,60 ,62 
AFOUGOU,CB,64,69 ,29 ,39 ,36 ,65 ,68 
COUTURIER,CB,64,43 ,29 ,45 ,33 ,65 ,67 
MUKIELE,CB,63,66 ,35 ,51 ,43 ,63 ,68 
CAPPONE,GK,69,67 ,67 ,67 ,73 ,48 ,71 
HAUTBOIS,GK,63,62 ,63 ,63 ,66 ,39 ,59 
LESEC,GK,56,57 ,51 ,54 ,58 ,53 ,54 
