DIARRA,ST,68,81 ,67 ,53 ,70 ,30 ,66 
MALFLEURY,ST,67,83 ,67 ,48 ,71 ,32 ,45 
BOUANGA,RW,65,75 ,61 ,57 ,69 ,22 ,47 
BERGOUGNOUX,CAM,69,64 ,66 ,67 ,70 ,35 ,67 
CISSÉ,CDM,68,49 ,45 ,55 ,58 ,64 ,83 
BELKEBLA,CM,68,71 ,53 ,65 ,69 ,60 ,57 
TANDIA,LM,65,73 ,57 ,61 ,69 ,37 ,54 
MAOUCHE,CM,61,64 ,48 ,60 ,62 ,56 ,61 
TEIXEIRA,CAM,60,72 ,55 ,52 ,68 ,33 ,36 
RAVELOSON,CM,56,70 ,52 ,53 ,63 ,41 ,54 
GRADIT,RB,68,69 ,26 ,57 ,62 ,67 ,74 
LOUVION,CB,68,44 ,42 ,57 ,46 ,65 ,79 
MIGUEL,CB,67,67 ,29 ,50 ,52 ,65 ,69 
MILOŠEVIĆ,CB,64,43 ,32 ,45 ,33 ,66 ,66 
KAMARA,GK,65,66 ,58 ,60 ,68 ,37 ,63 
WESTBERG,GK,65,64 ,63 ,64 ,64 ,34 ,66 
