ZIANI,LW,73,79 ,69 ,73 ,77 ,30 ,59 
NABAB,ST,67,87 ,63 ,59 ,66 ,30 ,64 
AYARI,ST,66,70 ,70 ,48 ,63 ,18 ,58 
HOULA,RW,64,82 ,59 ,57 ,68 ,52 ,51 
DUPUIS,ST,64,60 ,65 ,49 ,60 ,24 ,62 
BOUBY,CDM,65,61 ,53 ,60 ,60 ,61 ,73 
LIGOULE,CM,63,54 ,56 ,62 ,59 ,60 ,59 
BARRETO,CAM,61,77 ,56 ,57 ,65 ,24 ,50 
AHOLOU,CDM,60,65 ,44 ,60 ,56 ,56 ,61 
SAMI,CB,71,34 ,42 ,58 ,46 ,70 ,80 
ENZA-YAMISSI,CB,68,76 ,38 ,50 ,58 ,66 ,76 
YAHIA,CB,65,36 ,38 ,46 ,42 ,67 ,60 
PAGERIE,LB,64,69 ,29 ,47 ,58 ,64 ,60 
YOUSSOUF,RB,60,74 ,36 ,51 ,53 ,56 ,57 
PINAUD,RB,57,59 ,36 ,56 ,54 ,52 ,46 
RENAULT,GK,67,67 ,64 ,62 ,69 ,45 ,67 
SISSOKO,GK,66,67 ,62 ,61 ,71 ,58 ,64 
MPECK-MAKENDI,GK,58,59 ,60 ,56 ,56 ,40 ,56 
