AYEW,ST,81,80 ,82 ,77 ,81 ,35 ,78 
AGBONLAHOR,ST,81,94 ,80 ,70 ,80 ,47 ,80 
AYEW,ST,77,77 ,76 ,71 ,77 ,31 ,73 
MCCORMACK,ST,76,75 ,76 ,72 ,75 ,28 ,72 
KODJIA,ST,75,83 ,72 ,55 ,75 ,24 ,73 
KOZÁK,ST,74,55 ,72 ,48 ,61 ,31 ,80 
GESTEDE,ST,74,72 ,73 ,50 ,65 ,34 ,81 
AGBONLAHOR,ST,73,86 ,71 ,63 ,74 ,37 ,71 
KODJIA,ST,73,83 ,69 ,54 ,72 ,24 ,72 
HOGAN,ST,67,90 ,60 ,51 ,68 ,26 ,58 
JEDINÁK,CDM,77,50 ,68 ,67 ,60 ,77 ,88 
JEDINÁK,CDM,76,50 ,68 ,67 ,60 ,77 ,83 
WESTWOOD,CM,75,66 ,53 ,79 ,68 ,64 ,64 
ADOMAH,RM,75,87 ,69 ,67 ,75 ,42 ,67 
BJARNASON,LM,75,75 ,71 ,69 ,71 ,56 ,78 
LANSBURY,CM,73,66 ,69 ,73 ,71 ,59 ,76 
GREALISH,LM,72,75 ,56 ,72 ,76 ,31 ,50 
HOURIHANE,CM,69,70 ,66 ,68 ,67 ,60 ,74 
HOURIHANE,CM,69,70 ,66 ,68 ,67 ,60 ,74 
GARDNER,CDM,68,54 ,68 ,72 ,65 ,61 ,69 
TSHIBOLA,CM,66,72 ,55 ,63 ,66 ,64 ,70 
GREEN,LM,63,79 ,58 ,57 ,65 ,36 ,51 
SELLARS,LM,61,69 ,63 ,56 ,63 ,31 ,54 
LYDEN,CM,59,61 ,49 ,54 ,63 ,57 ,60 
CALDER,CM,53,63 ,49 ,51 ,55 ,48 ,62 
CHESTER,CB,81,73 ,45 ,65 ,70 ,82 ,80 
RICHARDS,CB,77,75 ,47 ,60 ,65 ,74 ,83 
AMAVI,LB,76,79 ,67 ,69 ,74 ,74 ,68 
TAYLOR,LB,75,72 ,40 ,68 ,72 ,76 ,67 
CHESTER,CB,75,71 ,34 ,58 ,63 ,75 ,73 
ELPHICK,CB,74,48 ,37 ,51 ,57 ,74 ,76 
RICHARDS,CB,74,75 ,46 ,58 ,62 ,70 ,83 
HUTTON,RB,73,69 ,48 ,63 ,66 ,74 ,82 
CHESTER,CB,73,71 ,34 ,58 ,62 ,73 ,72 
BACUNA,RB,73,77 ,72 ,73 ,73 ,68 ,77 
DE LAET,RB,73,86 ,44 ,58 ,67 ,70 ,74 
CISSOKHO,LB,72,76 ,59 ,61 ,65 ,73 ,75 
BAKER,CB,72,54 ,34 ,38 ,35 ,72 ,75 
BREE,RB,61,69 ,40 ,55 ,60 ,58 ,65 
SULIMAN,CB,56,58 ,31 ,37 ,39 ,56 ,59 
BUNN,GK,73,75 ,72 ,74 ,74 ,48 ,71 
GOLLINI,GK,71,73 ,60 ,62 ,76 ,46 ,70 
JOHNSTONE,GK,68,70 ,71 ,67 ,73 ,33 ,63 
STEER,GK,64,65 ,63 ,61 ,65 ,53 ,62 
