ARMSTRONG,ST,68,89 ,68 ,54 ,68 ,26 ,66 
WINNALL,ST,68,78 ,69 ,42 ,68 ,22 ,60 
BRADSHAW,ST,68,82 ,66 ,46 ,67 ,22 ,67 
WATKINS,ST,65,84 ,58 ,62 ,69 ,20 ,66 
LEE,ST,61,73 ,61 ,39 ,58 ,19 ,57 
PAYNE,CF,58,81 ,55 ,48 ,62 ,25 ,59 
TUTON,ST,55,85 ,52 ,36 ,51 ,17 ,50 
JACKSON,ST,53,87 ,51 ,34 ,47 ,25 ,53 
CHARLES,ST,53,67 ,51 ,48 ,58 ,29 ,52 
MOWATT,CAM,69,50 ,69 ,73 ,69 ,54 ,65 
JAMES,CM,69,67 ,60 ,70 ,68 ,65 ,70 
MORSY,CDM,69,67 ,56 ,64 ,70 ,61 ,76 
HOURIHANE,CM,69,70 ,66 ,68 ,67 ,60 ,74 
HAMMILL,LM,67,75 ,65 ,62 ,69 ,45 ,56 
MONCUR,CAM,67,69 ,64 ,63 ,70 ,52 ,65 
KENT,RM,66,87 ,56 ,59 ,71 ,21 ,51 
SCOWEN,CM,65,62 ,49 ,63 ,64 ,60 ,71 
D'ALMEIDA,CDM,64,67 ,41 ,49 ,57 ,66 ,75 
WILLIAMS,RM,64,77 ,53 ,54 ,68 ,23 ,58 
YIADOM,RM,63,84 ,53 ,56 ,62 ,49 ,62 
YIADOM,RM,63,84 ,53 ,56 ,62 ,49 ,62 
HEDGES,RM,59,75 ,56 ,53 ,61 ,38 ,52 
HARRIS,CAM,58,69 ,52 ,56 ,56 ,45 ,59 
MOTTLEY-HENRY,RM,53,80 ,41 ,44 ,53 ,25 ,41 
EVANS,RM,49,65 ,39 ,47 ,45 ,40 ,53 
JULIO,CB,69,43 ,33 ,45 ,41 ,68 ,76 
JANKO,RB,68,88 ,57 ,53 ,65 ,63 ,71 
WHITE,LB,67,87 ,59 ,60 ,65 ,62 ,57 
ROBERTS,CB,66,56 ,24 ,37 ,45 ,65 ,71 
ELDER,LB,62,71 ,33 ,50 ,56 ,60 ,58 
KPEKAWA,LB,62,76 ,50 ,55 ,55 ,59 ,68 
BREE,RB,61,69 ,40 ,55 ,60 ,58 ,65 
MACDONALD,CB,60,60 ,26 ,41 ,44 ,60 ,65 
COWGILL,CB,56,59 ,28 ,26 ,32 ,58 ,57 
JACKSON,CB,54,49 ,29 ,35 ,46 ,54 ,57 
DAVIES,GK,63,62 ,62 ,55 ,63 ,42 ,63 
TOWNSEND,GK,58,54 ,61 ,44 ,57 ,47 ,61 
