VIBE,ST,74,89 ,80 ,71 ,80 ,40 ,70 
VIBE,ST,72,87 ,69 ,61 ,73 ,37 ,67 
HOGAN,ST,72,92 ,70 ,55 ,72 ,30 ,62 
JOZEFZOON,RW,71,92 ,60 ,62 ,76 ,33 ,59 
HOFMANN,ST,69,56 ,67 ,48 ,60 ,30 ,78 
HOGAN,ST,67,90 ,60 ,51 ,68 ,26 ,58 
JOTA,RW,74,70 ,80 ,79 ,81 ,30 ,62 
JOTA,RM,73,68 ,68 ,75 ,77 ,24 ,56 
JUDGE,CAM,73,77 ,69 ,70 ,75 ,33 ,64 
JUDGE,CAM,73,77 ,69 ,70 ,75 ,33 ,64 
MCEACHRAN,CM,72,76 ,66 ,73 ,74 ,62 ,57 
SAWYERS,CAM,69,69 ,62 ,66 ,71 ,33 ,61 
SAUNDERS,RM,67,67 ,60 ,67 ,70 ,32 ,65 
WOODS,CDM,67,81 ,59 ,65 ,71 ,60 ,71 
KAIKAI,LM,67,84 ,66 ,62 ,71 ,26 ,52 
YENNARIS,CDM,66,76 ,48 ,60 ,66 ,66 ,60 
MCCORMACK,CDM,65,42 ,48 ,63 ,59 ,61 ,72 
MACLEOD,CM,65,73 ,56 ,64 ,66 ,53 ,65 
KERSCHBAUMER,CAM,65,66 ,51 ,65 ,67 ,39 ,55 
CANÓS,RM,65,74 ,63 ,59 ,70 ,32 ,50 
CLARKE,RM,62,78 ,50 ,53 ,68 ,50 ,51 
BJELLAND,CB,76,51 ,45 ,61 ,60 ,77 ,78 
COLIN,RB,71,74 ,33 ,62 ,66 ,69 ,70 
BARBET,CB,69,71 ,40 ,59 ,60 ,69 ,70 
DEAN,CB,69,57 ,33 ,47 ,51 ,68 ,75 
EGAN,CB,68,72 ,49 ,53 ,61 ,65 ,75 
HENRY,LB,65,91 ,42 ,54 ,67 ,58 ,67 
ELDER,LB,62,71 ,33 ,50 ,56 ,60 ,58 
BENTLEY,GK,69,69 ,67 ,63 ,72 ,46 ,70 
BONHAM,GK,51,54 ,48 ,51 ,49 ,43 ,51 
