WARD,LW,71,76 ,68 ,64 ,76 ,40 ,57 
O'GRADY,ST,68,67 ,67 ,51 ,62 ,31 ,79 
BEAVON,ST,67,74 ,67 ,53 ,70 ,33 ,72 
VARNEY,ST,67,76 ,63 ,62 ,65 ,41 ,73 
SORDELL,ST,66,87 ,64 ,58 ,66 ,33 ,71 
WOODROW,ST,65,76 ,62 ,50 ,63 ,26 ,64 
KIGHTLY,LM,70,76 ,62 ,64 ,71 ,38 ,66 
MURPHY,CM,69,64 ,64 ,70 ,65 ,57 ,71 
DYER,LM,67,88 ,51 ,60 ,68 ,32 ,57 
CHRISTENSEN,CM,67,75 ,56 ,64 ,71 ,52 ,63 
AKINS,RM,65,78 ,64 ,57 ,67 ,29 ,74 
NAYLOR,CM,65,67 ,58 ,61 ,62 ,63 ,76 
REILLY,CM,65,73 ,61 ,63 ,61 ,63 ,78 
IRVINE,CM,65,65 ,48 ,60 ,65 ,56 ,69 
CHOUDHURY,CDM,64,74 ,44 ,56 ,60 ,63 ,71 
PALMER,CM,63,71 ,59 ,61 ,62 ,54 ,65 
WILLIAMSON,CM,63,56 ,56 ,64 ,58 ,64 ,71 
MILLER,CAM,58,66 ,46 ,57 ,59 ,50 ,55 
FOX,CM,51,64 ,38 ,50 ,52 ,42 ,51 
HARNESS,RM,49,67 ,52 ,41 ,53 ,24 ,44 
TURNER,CB,70,59 ,33 ,41 ,43 ,70 ,75 
BRAYFORD,RB,69,69 ,43 ,59 ,64 ,69 ,76 
MOUSINHO,CB,68,63 ,55 ,58 ,64 ,65 ,77 
MCFADZEAN,CB,67,52 ,37 ,41 ,45 ,65 ,80 
MCCRORY,LB,66,67 ,52 ,59 ,56 ,63 ,78 
FLANAGAN,CB,64,61 ,28 ,44 ,45 ,62 ,72 
DELANEY,LB,53,59 ,24 ,35 ,48 ,54 ,68 
MCLAUGHLIN,GK,65,67 ,65 ,67 ,63 ,55 ,64 
BYWATER,GK,62,64 ,59 ,53 ,54 ,56 ,65 
CAMPBELL,GK,52,57 ,43 ,47 ,52 ,49 ,52 
HORNBY,GK,46,50 ,42 ,44 ,48 ,46 ,41 
