WELLS,ST,71,84 ,69 ,61 ,72 ,43 ,67 
KACHUNGA,ST,69,82 ,70 ,58 ,67 ,25 ,63 
BROWN,LW,68,77 ,58 ,65 ,72 ,39 ,60 
QUANER,ST,66,83 ,60 ,53 ,64 ,27 ,71 
BOJAJ,ST,55,56 ,54 ,41 ,56 ,18 ,54 
PYKE,ST,55,79 ,52 ,37 ,53 ,21 ,54 
CHARLES,ST,53,67 ,51 ,48 ,58 ,29 ,52 
MOOY,CM,76,70 ,70 ,78 ,72 ,60 ,71 
HOGG,CDM,71,76 ,55 ,63 ,69 ,69 ,73 
PAUREVIĆ,CDM,70,50 ,56 ,61 ,57 ,69 ,74 
WHITEHEAD,CDM,70,58 ,60 ,70 ,66 ,69 ,67 
SCANNELL,RM,69,87 ,63 ,59 ,73 ,42 ,71 
PARRA,LM,68,85 ,56 ,60 ,74 ,33 ,63 
LOLLEY,RM,67,85 ,60 ,60 ,70 ,37 ,58 
BUNN,LM,67,77 ,65 ,60 ,71 ,38 ,70 
PALMER,CAM,67,74 ,62 ,64 ,70 ,45 ,54 
PAYNE,CAM,67,79 ,61 ,61 ,71 ,21 ,49 
BILLING,CDM,64,64 ,62 ,65 ,66 ,67 ,74 
BILLING,CDM,62,62 ,55 ,55 ,59 ,59 ,68 
BOOTY,CDM,51,63 ,44 ,56 ,56 ,45 ,48 
HEFELE,ST,74,61 ,60 ,55 ,60 ,68 ,80 
LÖWE,LB,73,85 ,59 ,67 ,72 ,68 ,66 
SCHINDLER,CB,71,67 ,30 ,50 ,50 ,71 ,73 
SMITH,RB,68,75 ,27 ,63 ,62 ,67 ,70 
CRANIE,CB,68,66 ,42 ,57 ,58 ,66 ,71 
HUDSON,CB,68,33 ,39 ,44 ,45 ,69 ,69 
HEFELE,CB,67,59 ,41 ,49 ,48 ,64 ,76 
GORENC-STANKOVIC,CB,62,52 ,40 ,39 ,38 ,62 ,64 
HOLMES-DENNIS,LWB,62,69 ,36 ,52 ,59 ,60 ,59 
BOYLE,CB,57,58 ,27 ,31 ,33 ,58 ,63 
HANSON,RB,55,85 ,30 ,33 ,48 ,52 ,62 
HORSFALL,CB,55,53 ,25 ,28 ,34 ,56 ,62 
WARD,GK,66,68 ,65 ,62 ,67 ,44 ,64 
MURPHY,GK,64,63 ,64 ,68 ,63 ,36 ,61 
COLEMAN,GK,55,54 ,52 ,54 ,52 ,40 ,56 
CODDINGTON,GK,49,53 ,44 ,50 ,48 ,45 ,44 
