BARROW,RW,75,89 ,67 ,65 ,80 ,38 ,60 
WOOD,ST,74,70 ,84 ,65 ,75 ,45 ,83 
WOOD,ST,72,65 ,73 ,53 ,64 ,37 ,76 
ROOFE,ST,70,82 ,70 ,64 ,70 ,53 ,65 
ANTONSSON,ST,69,75 ,69 ,51 ,64 ,23 ,71 
SACKO,RW,68,91 ,64 ,53 ,72 ,27 ,70 
DOUKARA,ST,67,68 ,67 ,56 ,64 ,25 ,68 
MCKAY,ST,58,59 ,57 ,41 ,56 ,21 ,63 
HERNÁNDEZ,CAM,81,77 ,78 ,80 ,84 ,50 ,60 
HERNÁNDEZ,CAM,76,75 ,72 ,73 ,81 ,45 ,54 
BRIDCUTT,CDM,75,67 ,46 ,68 ,74 ,72 ,78 
PEDRAZA,LM,70,71 ,65 ,64 ,73 ,46 ,58 
DALLAS,LM,70,72 ,63 ,65 ,71 ,43 ,68 
MURPHY,CM,69,64 ,64 ,70 ,65 ,57 ,71 
O'KANE,CM,69,72 ,52 ,67 ,70 ,61 ,63 
DIAGOURAGA,CDM,69,68 ,52 ,67 ,68 ,66 ,72 
MOWATT,CAM,69,50 ,69 ,73 ,69 ,54 ,65 
PHILLIPS,CM,65,67 ,60 ,62 ,63 ,60 ,72 
GRIMES,CM,65,66 ,56 ,70 ,66 ,38 ,63 
VIEIRA,CM,63,78 ,47 ,61 ,66 ,57 ,62 
WHITEHOUSE,LM,50,62 ,45 ,46 ,52 ,25 ,49 
JANSSON,CB,87,68 ,55 ,62 ,72 ,88 ,87 
JANSSON,CB,76,63 ,42 ,50 ,60 ,77 ,78 
TAYLOR,LB,72,77 ,54 ,62 ,68 ,68 ,73 
BERARDI,RB,71,78 ,42 ,60 ,64 ,70 ,76 
BARTLEY,CB,70,65 ,27 ,47 ,46 ,68 ,78 
AYLING,RB,69,75 ,40 ,58 ,66 ,66 ,71 
COOPER,CB,69,57 ,35 ,53 ,59 ,69 ,72 
MCKAY,CB,58,52 ,31 ,41 ,49 ,57 ,66 
GREEN,GK,74,78 ,70 ,62 ,77 ,55 ,71 
SILVESTRI,GK,69,78 ,59 ,53 ,76 ,58 ,67 
TURNBULL,GK,65,62 ,69 ,68 ,58 ,40 ,67 
