GRABBAN,ST,70,78 ,70 ,57 ,68 ,27 ,69 
KERMORGANT,ST,69,52 ,71 ,62 ,60 ,33 ,68 
MENDES,ST,67,65 ,65 ,51 ,61 ,31 ,71 
SAMUEL,ST,65,79 ,63 ,50 ,64 ,30 ,67 
MEITÉ,RW,64,86 ,58 ,51 ,69 ,30 ,57 
BEERENS,RM,73,80 ,66 ,67 ,81 ,23 ,50 
BERG,CM,72,54 ,63 ,66 ,68 ,68 ,84 
MCCLEARY,RM,72,90 ,69 ,62 ,75 ,34 ,69 
MUTCH,CM,72,67 ,70 ,71 ,72 ,66 ,73 
WILLIAMS,CM,70,78 ,66 ,66 ,72 ,68 ,80 
QUINN,CM,70,71 ,66 ,69 ,74 ,62 ,68 
HARRIOTT,LM,68,88 ,60 ,60 ,73 ,30 ,59 
SWIFT,CM,68,70 ,63 ,68 ,72 ,52 ,64 
RAKELS,RM,67,74 ,65 ,57 ,69 ,27 ,72 
EVANS,CM,66,67 ,60 ,61 ,65 ,56 ,63 
WIESER,CM,65,67 ,53 ,62 ,67 ,62 ,70 
FOSU,LM,62,82 ,56 ,53 ,65 ,31 ,48 
KELLY,CM,61,69 ,52 ,63 ,66 ,42 ,43 
BARRETT,CM,59,68 ,53 ,57 ,63 ,48 ,50 
ILORI,CB,75,69 ,38 ,49 ,58 ,78 ,71 
GUNTER,RB,72,78 ,47 ,61 ,65 ,69 ,71 
MCSHANE,CB,71,52 ,34 ,53 ,47 ,70 ,80 
OBITA,LB,70,80 ,59 ,69 ,69 ,66 ,65 
MOORE,CB,70,69 ,31 ,50 ,56 ,69 ,75 
BLACKETT,CB,67,71 ,39 ,62 ,53 ,64 ,71 
OXFORD,CB,66,71 ,33 ,50 ,53 ,65 ,67 
GRAVENBERCH,CB,65,76 ,59 ,48 ,61 ,62 ,75 
GRAVENBERCH,CB,65,76 ,59 ,48 ,61 ,62 ,75 
COOPER,CB,64,59 ,31 ,47 ,49 ,63 ,69 
WATSON,RB,59,69 ,31 ,50 ,57 ,55 ,57 
KEOWN,CB,57,66 ,33 ,48 ,49 ,57 ,61 
GRIFFIN,LB,56,68 ,31 ,47 ,54 ,54 ,54 
LONG,RB,55,66 ,30 ,36 ,44 ,58 ,58 
JULES,CB,54,54 ,24 ,34 ,36 ,51 ,62 
AL-HABSI,GK,68,67 ,58 ,67 ,67 ,41 ,71 
BOND,GK,64,65 ,61 ,61 ,64 ,54 ,62 
MOORE,GK,55,55 ,55 ,57 ,54 ,45 ,52 
